Detector,Centroid,Width,A,A err,Runtime
det0,1098.77,9.60826,19001,151.28,2525
det1,1105.62,10.4826,17806.2,147.602,2525
det2,1109.65,10.4192,10553.3,120.729,2525
det3,1109.95,10.8602,17552.5,148.757,2525
det4,1104.21,11.3068,18126.5,152.834,2525
det5,1108.95,12.1734,18786.3,157.133,2525
det6,1103.37,10.311,18243.5,151.03,2525
det7,1100.02,11.3667,18365.2,154.468,2525
det8,1102.38,10.2041,18411.4,150.432,2525
det9,1103.68,9.69911,18149.7,148.168,2525
det10,1108.32,13.2337,11109.6,136.004,2525
det11,1123.25,13.1016,17249.3,189.577,2525
det12,1091.49,10.1231,18613.9,151.675,2525
