,Yield,Yield_err
2.11837,8.100048419999999e-15,3.17175174e-15
2.11952,2.03114376e-14,1.453472172e-14
2.1204699999999996,4.59850896e-15,5.0808070799999996e-15
2.12154,1.23142536e-14,3.40341696e-15
2.12251,1.98790578e-14,3.1985532e-15
2.1229899999999997,2.35284138e-14,5.135211e-15
2.12351,4.9649985e-14,7.0352631e-15
2.1238200000000003,3.2628734999999996e-14,4.8728034e-15
2.12499,1.75918824e-14,4.40370576e-15
2.12602,2.21795298e-14,3.967561260000001e-15
2.12689,4.11558606e-14,1.109554812e-14
2.1308499999999997,1.8401052600000002e-14,5.011072019999999e-15
2.13592,5.32125126e-15,5.77407258e-15
2.13776,7.64838054e-15,3.4700121e-15
2.14181,7.103412180000001e-23,2.50892424e-14
2.14587,4.9658956200000005e-15,6.1155068400000004e-15
2.14972,2.2241206800000002e-14,6.91325478e-15
2.15989,3.80109744e-15,3.3844492799999997e-15
2.1645700000000003,1.4841216360000002e-14,3.42831204e-15
2.16899,6.41027484e-15,3.84457572e-15
2.17348,1.60382628e-14,4.5713871e-15
2.1740500000000003,9.49348404e-15,2.87818524e-15
2.1745,5.10047964e-14,9.70337808e-15
2.17487,4.77889416e-14,3.1408811999999997e-15
2.17503,1.256890752e-13,1.020763962e-14
2.17542,3.62665566e-14,6.49197684e-15
2.1760300000000004,2.32636032e-14,4.12446114e-15
2.17644,1.331183502e-14,5.44827384e-15
2.1768899999999998,4.73075406e-25,3.9498271199999995e-15
2.1780399999999998,9.00681246e-15,3.63072474e-15
2.1791,1.224044946e-14,2.28587778e-15
2.18499,1.551333546e-14,4.2194277e-15
2.1895599999999997,2.11406328e-14,4.10562162e-15
2.19472,6.19911522e-14,4.9943150999999996e-15
2.1974099999999996,2.8834398000000005e-14,3.2719568399999998e-15
2.1980500000000003,3.6424674e-14,3.9816268200000005e-15
2.1981100000000002,2.5598358000000002e-14,6.8104224e-15
2.19844,2.97148572e-14,5.90268114e-15
2.19852,3.2213016e-14,5.79677292e-15
2.19899,6.5823777e-14,9.02986524e-15
2.1991300000000003,3.2369691600000004e-14,7.16058756e-15
2.19938,4.4099375399999995e-14,9.616309380000001e-15
2.1995,3.5253451800000005e-14,5.6456082e-15
2.1995500000000003,2.7055377e-14,4.04067654e-15
2.19979,3.4935615e-14,3.7860386400000005e-15
2.2,5.96471058e-14,1.65739716e-14
2.2018299999999997,3.3414355800000004e-14,3.70637118e-15
2.20396,4.40639712e-14,5.51818512e-15
2.20493,4.88723742e-14,6.0876480600000006e-15
2.2054,4.0532682599999995e-14,4.25065068e-15
2.2097399999999996,4.3498305000000006e-14,4.38774984e-15
2.2099499999999996,3.7554084e-14,5.66425548e-15
2.2137,6.12295614e-14,7.00870194e-15
2.2138400000000003,4.5014598e-14,4.69054386e-15
2.21992,5.6817333000000005e-14,4.91887692e-15
2.22465,7.93901538e-14,5.3222124600000005e-15
2.2294,8.24579838e-14,5.649885540000001e-15
2.24456,9.27351342e-14,1.136295396e-14
2.24952,7.106840460000001e-14,7.154147520000001e-15
2.25445,5.26955472e-14,5.653137600000001e-15
2.25965,5.00306202e-14,5.15174364e-15
2.26419,3.7788296400000006e-14,4.76095176e-15
2.2690900000000003,4.1422913999999995e-14,4.8401546399999995e-15
2.27466,4.3425413999999997e-14,5.494059e-15
2.27942,4.3877338200000004e-14,5.98960566e-15
2.2850300000000003,5.36503392e-14,6.32953404e-15
2.28997,7.44776208e-14,5.08032648e-15
2.29173,8.74640736e-14,5.7723264e-15
2.29393,1.07423712e-13,6.1877730599999994e-15
2.29569,1.20979035e-13,6.064371e-15
2.29775,2.1703415399999998e-13,7.9486434e-15
2.29981,2.99708568e-13,8.304639840000001e-15
2.30201,4.97022102e-13,9.67459014e-15
2.30346,6.598285559999999e-13,1.0550403539999998e-14
2.3059000000000003,9.48377592e-13,1.219799646e-14
2.30771,9.89100432e-13,1.36846044e-14
2.30981,8.33586282e-13,1.3432866120000001e-14
2.31386,4.45221432e-13,1.079935434e-14
2.31799,2.27504826e-13,8.247031919999999e-15
2.31965,2.0681499600000001e-13,8.246311020000001e-15
2.3209,1.8729302400000001e-13,7.4018808e-15
2.32185,1.75585608e-13,7.888712580000001e-15
2.32288,1.6714787400000002e-13,5.6284828200000006e-15
2.32406,1.6752114e-13,6.05985336e-15
2.32406,1.62228132e-13,7.3662363e-15
2.32446,1.6127974800000002e-13,6.46485498e-15
2.32507,1.83488274e-13,7.11457812e-15
2.32548,1.79951058e-13,5.25563334e-15
2.32581,1.8627575399999998e-13,8.1599472e-15
2.3259600000000002,2.04307866e-13,9.1433349e-15
2.32655,1.90937574e-13,6.86122182e-15
2.32702,1.5998805540000002e-13,7.7754672e-15
2.32755,1.64969154e-13,7.804399319999999e-15
2.3280100000000004,1.4679254160000002e-13,6.83826516e-15
2.32856,1.223988876e-13,5.41714698e-15
2.32902,1.1959811099999998e-13,4.08843216e-15
2.32979,1.120264182e-13,9.126738180000002e-15
2.32991,1.113249024e-13,3.9006777600000005e-15
2.3339299999999996,8.289997560000001e-14,7.0121302200000006e-15
2.33397,8.66955942e-14,3.29536206e-15
2.33738,8.10847494e-14,6.82610598e-15
2.3417399999999997,7.43185422e-14,6.1305336e-15
2.3417800000000004,6.90912162e-14,2.54319102e-15
2.3435,7.187244839999999e-14,5.97055788e-15
2.34395,6.48612954e-14,7.8356223e-15
2.34522,6.36716502e-14,5.0838829199999996e-15
2.34592,8.38610154e-14,8.102579580000001e-15
2.3467,6.91931034e-14,5.7273262200000006e-15
2.34795,5.72356152e-14,8.31644658e-15
2.34808,7.6753422e-14,6.6589212599999995e-15
2.34946,7.63582086e-14,6.05352546e-15
2.34965,8.6238063e-14,9.49531032e-15
2.35052,8.1550611e-14,5.79182274e-15
2.3512399999999998,8.77896e-14,6.310918800000001e-15
2.35194,7.22615742e-14,8.4516714e-15
2.35203,8.85845124e-14,6.2673764399999995e-15
2.35277,8.6407875e-14,6.52837428e-15
2.3535999999999997,8.708776379999999e-14,5.5847322e-15
2.3539,6.71729814e-14,8.09998434e-15
2.3540900000000002,9.39441636e-14,5.72295276e-15
2.35466,1.088123256e-13,5.828316300000001e-15
2.35519,1.016550702e-13,5.96099394e-15
