,Yield,Yield_err
2.17487,5.1220585800000003e-14,4.67410734e-15
2.22465,7.32416778e-14,5.03769726e-15
2.2294,8.29813572e-14,5.53772952e-15
2.29173,7.93786194e-14,5.7390048e-15
2.29393,9.02965698e-14,4.64392566e-15
2.29569,1.441312992e-13,6.55624908e-15
2.29775,2.00166696e-13,6.74079948e-15
2.29981,2.9586697200000005e-13,8.325225539999999e-15
2.30201,4.83592536e-13,9.691635419999998e-15
2.30346,6.57553716e-13,1.117048968e-14
2.3059000000000003,9.017001180000002e-13,1.227048696e-14
2.30771,9.32798142e-13,1.422809892e-14
2.30981,8.26052076e-13,1.3605401520000001e-14
2.31386,4.30095348e-13,1.04336658e-14
2.31799,2.38856598e-13,8.185002480000001e-15
2.31965,2.30114484e-13,9.12069864e-15
2.3209,1.40954373e-13,6.77394486e-15
2.32185,1.6805620800000002e-13,7.65618228e-15
2.32288,1.2396612419999999e-13,5.0531405400000006e-15
2.32406,1.205694036e-13,6.15890502e-15
2.32406,1.4863099680000002e-13,7.264765619999999e-15
2.32446,1.255836636e-13,6.28373286e-15
2.32507,1.2586641660000002e-13,6.38451468e-15
2.32548,1.407767112e-13,4.9391262e-15
2.32581,1.9851022800000001e-13,8.20058994e-15
2.3259600000000002,1.474117146e-13,8.586399600000001e-15
2.32655,1.491761574e-13,6.3385052400000006e-15
2.32702,1.376739576e-13,7.4750121e-15
2.32755,1.210556106e-13,7.35724908e-15
2.3280100000000004,9.82935936e-14,5.8456179e-15
2.32856,9.714944520000001e-14,5.6132317799999996e-15
2.32902,9.075169799999999e-14,4.0398274800000005e-15
2.32991,8.016952680000001e-14,3.5574492599999996e-15
2.33397,7.06419522e-14,3.4622103600000002e-15
2.3417800000000004,5.8109346e-14,2.57476644e-15
2.34946,6.5343177e-14,5.521581360000001e-15
2.35203,7.18924734e-14,6.23363832e-15
2.3535999999999997,7.24398768e-14,5.345809920000001e-15
2.3540900000000002,7.794450900000001e-14,4.26817656e-15
2.35466,7.70821524e-14,5.4998582400000005e-15
2.35519,8.92801008e-14,4.53875436e-15
2.35573,1.022697576e-13,5.78975616e-15
2.356,1.4258280599999997e-13,1.1019741479999999e-14
2.35643,1.0639506779999999e-13,4.9323978e-15
2.3569400000000003,1.1096877779999999e-13,6.42637494e-15
2.35743,1.169938998e-13,6.53981256e-15
2.3577399999999997,1.5731287560000001e-13,8.59668444e-15
2.3577399999999997,1.069097904e-13,5.349061980000001e-15
2.35832,1.1806083179999999e-13,5.26349916e-15
2.35881,1.242213228e-13,6.516743760000002e-15
2.35923,1.3775165460000002e-13,6.9068948400000004e-15
2.35994,1.4041834380000002e-13,6.1273776599999994e-15
2.35994,1.85747094e-13,1.1329231860000002e-14
2.36047,1.584565434e-13,4.8413240999999996e-15
2.36102,1.8705913200000002e-13,4.94276274e-15
2.36123,2.26229634e-13,1.10683782e-14
2.36149,2.1157293599999995e-13,5.07021786e-15
2.362,2.68057854e-13,5.18788476e-15
2.36253,3.0702009599999997e-13,5.42895372e-15
2.36287,3.63207042e-13,6.39668988e-15
2.36336,4.2666867000000004e-13,6.35430096e-15
2.36381,5.268241080000001e-13,1.0673212860000001e-14
2.364,5.025474e-13,7.3572651e-15
2.3644499999999997,5.65584498e-13,6.92772084e-15
2.36492,6.11124552e-13,8.3205477e-15
2.3654499999999996,5.94290736e-13,8.25986394e-15
2.366,5.38826292e-13,8.47518876e-15
2.3664899999999998,4.80452616e-13,8.12648142e-15
2.3669000000000002,4.1615154e-13,8.12896452e-15
2.3674299999999997,3.59487198e-13,7.94757006e-15
2.3679200000000002,3.16694574e-13,7.294787100000001e-15
2.36852,2.6274402e-13,8.0647884e-15
2.36926,2.44527678e-13,7.00756452e-15
2.36956,2.1164182199999998e-13,7.05767508e-15
2.36988,2.00807496e-13,7.598622419999999e-15
2.3706,1.68499962e-13,7.72298568e-15
2.3709499999999997,1.4293620720000002e-13,6.6747810600000006e-15
2.37152,1.4156473500000002e-13,5.1915213e-15
2.37199,1.4240594519999998e-13,6.47818362e-15
2.37229,1.264694094e-13,8.5700592e-15
2.3724600000000002,1.289116584e-13,6.1445831399999996e-15
2.3729699999999996,1.173678066e-13,7.375223520000001e-15
2.37412,1.0359252900000001e-13,4.1808835799999996e-15
2.37502,9.15756066e-14,4.0126095000000004e-15
2.3759200000000003,8.318993760000001e-14,3.1515505200000004e-15
2.37696,8.106296219999999e-14,4.9253490000000004e-15
2.37792,8.45027766e-14,4.797717660000001e-15
2.37987,8.017913880000001e-14,4.999041000000001e-15
2.3819,1.0259976959999999e-13,4.09137984e-15
2.38403,1.402717608e-13,5.4922167e-15
2.38596,1.9536550200000002e-13,6.01168122e-15
2.38788,2.8103245199999995e-13,6.89159574e-15
2.3898099999999998,4.83397092e-13,8.123005080000001e-15
2.39007,3.98279628e-13,8.153683380000001e-15
2.3918000000000004,6.744452039999999e-13,9.41428116e-15
2.39386,1.0034399339999999e-12,1.20415131e-14
2.3948,9.418462380000001e-13,1.214911944e-14
2.39596,1.4973076980000002e-12,1.476970308e-14
2.39804,1.90770966e-12,1.360709964e-14
2.39975,1.47412035e-12,1.475993088e-14
2.40009,2.00440638e-12,9.93959298e-15
2.40175,1.74683682e-12,8.19982098e-15
2.4035300000000004,1.413978066e-12,8.782404300000001e-15
2.4057,1.07323587e-12,7.6841532e-15
2.4078000000000004,8.507116619999998e-13,6.99875352e-15
2.40986,4.758004079999999e-13,8.8824492e-15
2.4099299999999997,6.850055880000001e-13,6.0592446e-15
2.41167,5.8678056e-13,5.0062820399999994e-15
2.4145100000000004,4.81431438e-13,4.4198539199999995e-15
