,Yield,Yield_err
2.11837,7.40314638e-15,3.15042912e-15
2.11952,1.054303434e-14,4.03748856e-15
2.1204699999999996,1.2569292e-14,3.8885185800000006e-15
2.12154,1.1292722279999999e-14,3.51587736e-15
2.12251,1.89966762e-14,5.0402925e-15
2.1229899999999997,2.77871706e-14,3.8135289600000004e-15
2.12351,6.26116068e-14,7.95130272e-15
2.1238200000000003,3.4865127e-14,7.9207686e-15
2.12499,2.98849896e-14,6.976389600000001e-15
2.12602,1.7477019000000002e-14,4.0952406600000005e-15
2.12689,1.99583568e-14,4.59983862e-15
2.1308499999999997,2.27693862e-14,1.301262948e-14
2.13592,1.8735069600000002e-14,6.2414721000000004e-15
2.13776,2.42964126e-14,1.598264136e-14
2.14181,2.76244074e-23,8.94606462e-15
2.14587,6.9668576999999994e-15,6.61094136e-15
2.14972,5.641731360000001e-15,5.8818070800000005e-15
2.15989,5.64113862e-15,2.0434311e-15
2.1645700000000003,1.8122625e-14,3.947392080000001e-15
2.16899,1.6794727199999998e-14,3.5136505799999997e-15
2.17348,1.018226394e-14,4.47177474e-15
2.1740500000000003,1.60382628e-14,4.70449728e-15
2.1745,4.1151375e-14,7.84004382e-15
2.17487,4.2574752e-14,4.0159256400000005e-15
2.17503,1.055665134e-13,1.0149583139999999e-14
2.17542,4.67035866e-14,8.89073154e-15
2.1760300000000004,2.73257946e-14,3.79356804e-15
2.17644,1.419239034e-14,5.2090632000000005e-15
2.1768899999999998,1.2447556020000001e-14,3.6340248600000005e-15
2.1780399999999998,1.135604934e-14,3.6816523200000005e-15
2.1791,1.0618873020000002e-14,3.88031634e-15
2.18499,1.8312301800000002e-14,4.08090276e-15
2.1895599999999997,1.798245e-14,3.76050276e-15
2.19472,6.04400958e-14,5.14198746e-15
2.1974099999999996,3.77426394e-14,5.00133186e-15
2.1980500000000003,3.2843082599999996e-14,4.09299786e-15
2.1981100000000002,3.5827608600000005e-14,7.87419846e-15
2.19844,3.58681392e-14,3.7599260399999995e-15
2.19852,2.2225827599999997e-14,7.6497903e-15
2.19899,8.13686238e-14,1.305907146e-14
2.1991300000000003,2.24185482e-14,6.9003266400000005e-15
2.19938,3.62575854e-14,5.8720509e-15
