Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q_int
run_0103,det6,0.019888,0.000240349,14186.6,171.447,7.92773,1.04575,1,0,713326
run_0103,det7,0.0197038,0.00025058,14055.2,178.745,8.33349,0.880347,1,0,713326
run_0103,det8,0.0201167,0.000243886,14349.8,173.97,7.83337,1.16254,1,0,713326
run_0103,det9,0.0193344,0.000233793,13791.7,166.771,7.42245,1.03717,1,0,713326
run_0103,det10,0.00832354,0.000221123,5937.39,157.733,8.98189,0.9267,1,0,713326
run_0103,det11,0.015349,0.000247607,10948.9,176.625,9.10885,1.29072,1,0,713326
run_0103,det12,0.0217739,0.000252186,15531.9,179.891,7.80876,1.09588,1,0,713326
run_0104,det0,0.020719,0.000234411,15048.3,170.254,7.51284,0.805977,1,0,726307
run_0104,det1,0.020137,0.000253651,14625.6,184.228,7.93354,1.20474,1,0,726307
run_0104,det2,0.00795638,0.000184489,5778.78,133.996,8.19888,1.38371,1,0,726307
run_0104,det3,0.0189094,0.000233135,13734,169.327,8.07959,1.10543,1,0,726307
run_0104,det4,0.0191764,0.000249296,13928,181.065,8.34162,1.15634,1,0,726307
run_0104,det5,0.0204443,0.000248423,14848.8,180.431,8.79535,0.930484,1,0,726307
run_0104,det6,0.0194616,0.000234017,14135.1,169.968,7.83558,0.959963,1,0,726307
run_0104,det7,0.0196289,0.000257094,14256.6,186.729,8.38932,1.26647,1,0,726307
run_0104,det8,0.0193617,0.00024037,14062.6,174.583,7.72512,0.887993,1,0,726307
run_0104,det9,0.0195228,0.000232196,14179.5,168.646,7.71409,0.813609,1,0,726307
run_0104,det10,0.00820416,0.000221349,5958.74,160.767,9.2616,1.21978,1,0,726307
run_0104,det11,0.0156677,0.000250361,11379.6,181.839,9.50313,0.876831,1,0,726307
run_0104,det12,0.0212752,0.000244864,15452.3,177.846,7.97508,1.23629,1,0,726307
run_0105,det0,0.0204621,0.000215123,18448.5,193.954,7.59255,0.95507,1,0,901595
run_0105,det1,0.0196381,0.000230644,17705.6,207.947,7.86506,1.08978,1,0,901595
run_0105,det2,0.0075267,0.000166937,6786.03,150.509,7.80513,1.00068,1,0,901595
run_0105,det3,0.0183916,0.000210622,16581.8,189.896,8.30386,0.869778,1,0,901595
run_0105,det4,0.0190203,0.000217717,17148.6,196.293,8.19051,1.2415,1,0,901595
run_0105,det5,0.0198609,0.00022485,17906.5,202.723,8.87143,0.777463,1,0,901595
run_0105,det6,0.0197177,0.000222815,17777.4,200.889,8.14577,1.36448,1,0,901595
run_0105,det7,0.0193724,0.000221281,17466.1,199.505,8.2413,1.50946,1,0,901595
run_0105,det8,0.0194876,0.000211573,17569.9,190.753,7.84008,1.14107,1,0,901595
run_0105,det9,0.0190971,0.000208475,17217.9,187.96,7.4775,1.32915,1,0,901595
run_0105,det10,0.00817391,0.000196241,7369.56,176.93,8.95085,1.10647,1,0,901595
run_0105,det11,0.0153336,0.000224494,13824.7,202.403,9.42252,1.09692,1,0,901595
run_0105,det12,0.0211529,0.000222518,19071.4,200.621,7.88121,1.50144,1,0,901595
run_0106,det0,0.0194928,0.000252171,11896.3,153.898,7.43124,1.07475,1,0,610293
run_0106,det1,0.0193989,0.000280448,11839,171.155,8.07598,1.34396,1,0,610293
run_0106,det2,0.00718889,0.000201165,4387.33,122.77,7.9123,1.09095,1,0,610293
run_0106,det3,0.0179358,0.000254425,10946.1,155.273,8.06654,0.867036,1,0,610293
run_0106,det4,0.019494,0.000268163,11897.1,163.658,8.42318,0.933322,1,0,610293
run_0106,det5,0.0194853,0.000273365,11891.7,166.833,8.79163,1.18129,1,0,610293
run_0106,det6,0.018797,0.000261008,11471.7,159.291,7.95835,1.02364,1,0,610293
run_0106,det7,0.0195091,0.000272673,11906.3,166.41,8.43088,1.01993,1,0,610293
run_0106,det8,0.0189837,0.000263231,11585.6,160.648,7.90459,0.974398,1,0,610293
run_0106,det9,0.0190238,0.000248423,11610.1,151.611,7.62799,0.734175,1,0,610293
run_0106,det10,0.00779038,0.000227006,4754.41,138.54,8.59904,1.01042,1,0,610293
run_0106,det11,0.0152721,0.000281268,9320.45,171.656,9.75708,0.960021,1,0,610293
run_0106,det12,0.0203518,0.000267483,12420.6,163.243,7.86809,0.905601,1,0,610293
run_0107,det0,0.0196298,0.000228832,14609.8,170.312,7.44178,0.967323,1,0,744269
run_0107,det1,0.0190693,0.000246833,14192.7,183.71,7.98443,1.10296,1,0,744269
run_0107,det2,0.00718425,0.000180356,5347.02,134.233,7.99164,1.06367,1,0,744269
run_0107,det3,0.0178876,0.000230878,13313.2,171.836,8.175,1.60002,1,0,744269
run_0107,det4,0.0190816,0.00023922,14201.9,178.044,8.38465,1.00966,1,0,744269
run_0107,det5,0.0187671,0.00024157,13967.8,179.793,8.64488,0.782678,1,0,744269
