Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q_int
run_0103,det4,0.000902799,8.04287e-05,643.99,57.3719,12.3736,1.12504,1,0,713326
run_0103,det5,0.000906183,7.22918e-05,646.404,51.5676,11.3825,1.16067,1,0,713326
run_0103,det6,0.000914888,6.96137e-05,652.613,49.6573,10.3242,1.12842,1,0,713326
run_0103,det7,0.00120562,0.000108815,860.001,77.6208,14.6122,1.20577,1,0,713326
run_0103,det8,0.000895551,6.7416e-05,638.82,48.0896,10.0495,1.39058,1,0,713326
run_0103,det9,0.000901375,6.11502e-05,642.974,43.62,9.9262,1.29496,1,0,713326
run_0103,det10,0.000720269,9.39496e-05,513.787,67.0167,13.9451,1.09949,1,0,713326
run_0103,det11,0.000856337,7.43965e-05,610.847,53.069,11.649,1.45561,1,0,713326
run_0103,det12,0.00112736,7.29816e-05,804.175,52.0597,10.6435,1.11398,1,0,713326
run_0104,det0,0.00113044,7.05654e-05,821.045,51.2521,9.52992,1.06455,1,0,726307
run_0104,det1,0.00111528,6.76163e-05,810.039,49.1102,9.52624,1.27839,1,0,726307
run_0104,det2,0.000411844,5.26412e-05,299.125,38.2337,9.80243,1.13324,1,0,726307
run_0104,det3,0.00117318,6.57456e-05,852.091,47.7515,10.3271,1.39642,1,0,726307
run_0104,det4,0.0010947,7.86323e-05,795.087,57.1112,11.9535,0.92377,1,0,726307
run_0104,det5,0.00107767,7.82417e-05,782.722,56.8275,11.8245,1.15229,1,0,726307
run_0104,det6,0.00116087,8.0039e-05,843.151,58.1329,11.678,1.07495,1,0,726307
run_0104,det7,0.00145451,8.34952e-05,1056.42,60.6431,17,1.36983,1,0,726307
run_0104,det8,0.00127,8.04161e-05,922.407,58.4068,12.267,1.24336,1,0,726307
run_0104,det9,0.000994621,6.0506e-05,722.4,43.9459,9.22896,1.51574,1,0,726307
run_0104,det10,0.000900443,7.02379e-05,653.998,51.0143,17,1.16496,1,0,726307
run_0104,det11,0.00107198,8.57635e-05,778.585,62.2906,13.1513,1.57024,1,0,726307
run_0104,det12,0.00119551,7.17643e-05,868.305,52.1229,10.0503,0.990974,1,0,726307
run_0105,det0,0.00164175,6.9186e-05,1480.19,62.3778,9.62314,1.2564,1,0,901595
run_0105,det1,0.00151142,7.19318e-05,1362.69,64.8533,10.8908,1.10548,1,0,901595
run_0105,det2,0.000770348,5.26814e-05,694.542,47.4973,9.94505,1.09557,1,0,901595
run_0105,det3,0.00150648,6.69542e-05,1358.23,60.3655,11.3199,1.15415,1,0,901595
run_0105,det4,0.00149507,7.37655e-05,1347.95,66.5066,11.7883,1.20296,1,0,901595
run_0105,det5,0.00130601,7.27361e-05,1177.5,65.5785,11.5684,1.01605,1,0,901595
run_0105,det6,0.00132628,7.39996e-05,1195.77,66.7177,10.6186,1.12615,1,0,901595
run_0105,det7,0.00150654,8.87158e-05,1358.29,79.9857,12.8221,1.2534,1,0,901595
run_0105,det8,0.00147929,7.15476e-05,1333.72,64.507,10.8744,1.16054,1,0,901595
run_0105,det9,0.00140921,6.13608e-05,1270.54,55.3225,9.64466,1.64365,1,0,901595
run_0105,det10,0.000888792,8.27739e-05,801.33,74.6286,13.9027,1.31901,1,0,901595
run_0105,det11,0.00123588,7.50375e-05,1114.26,67.6535,12.6865,1.80946,1,0,901595
run_0105,det12,0.00166847,7.21759e-05,1504.28,65.0735,10.8598,1.04002,1,0,901595
run_0106,det0,0.00234842,0.000101597,1433.22,62.0042,11.0905,1.15021,1,0,610293
run_0106,det1,0.00235471,9.29692e-05,1437.06,56.7385,10.9114,1.18906,1,0,610293
run_0106,det2,0.000927089,6.85058e-05,565.796,41.8086,10.0336,1.21254,1,0,610293
run_0106,det3,0.00197186,9.05699e-05,1203.41,55.2742,11.5374,1.19856,1,0,610293
run_0106,det4,0.00194873,9.67704e-05,1189.3,59.0583,11.7142,1.01461,1,0,610293
run_0106,det5,0.0021386,0.000103166,1305.17,62.9617,12.5967,1.2753,1,0,610293
run_0106,det6,0.00184718,9.41168e-05,1127.32,57.4388,10.6466,1.04133,1,0,610293
run_0106,det7,0.00210658,0.000106595,1285.63,65.0543,12.3607,0.988851,1,0,610293
run_0106,det8,0.00202616,8.90377e-05,1236.55,54.3391,11.1532,0.999899,1,0,610293
run_0106,det9,0.00216243,7.81065e-05,1319.72,47.6678,9.61945,1.63918,1,0,610293
run_0106,det10,0.00116255,0.000103336,709.494,63.0652,14.2944,1.05985,1,0,610293
run_0106,det11,0.00185091,9.65404e-05,1129.6,58.9179,12.7627,1.05446,1,0,610293
run_0106,det12,0.00229644,9.25046e-05,1401.5,56.4549,10.7443,1.14752,1,0,610293
run_0107,det0,0.00320297,9.34768e-05,2383.87,69.5719,9.48053,1.07577,1,0,744269
run_0107,det1,0.00315155,9.36929e-05,2345.6,69.7327,10.8714,1.13421,1,0,744269
run_0107,det2,0.00146361,7.32574e-05,1089.32,54.5232,11.2111,1.17824,1,0,744269
run_0107,det3,0.00289347,8.67979e-05,2153.52,64.601,11.1615,1.17495,1,0,744269
run_0107,det4,0.00287634,9.25154e-05,2140.77,68.8563,11.469,1.18654,1,0,744269
run_0107,det5,0.00295641,0.000101668,2200.36,75.6684,12.6547,0.92729,1,0,744269
run_0107,det6,0.00299335,9.63207e-05,2227.85,71.6885,11.2808,1.216,1,0,744269
run_0107,det7,0.00292207,0.000104738,2174.81,77.9532,11.4904,1.04489,1,0,744269
run_0107,det8,0.00283761,8.64915e-05,2111.95,64.373,10.311,1.25871,1,0,744269
run_0107,det9,0.00299352,8.26157e-05,2227.99,61.4883,9.77051,1.40286,1,0,744269
run_0107,det10,0.0017702,0.000108591,1317.5,80.8209,14.3358,1.23909,1,0,744269
run_0107,det11,0.00268603,8.9908e-05,1999.13,66.9157,12.5388,1.50719,1,0,744269
run_0107,det12,0.00348033,9.22478e-05,2590.3,68.6572,10.5439,1.1673,1,0,744269
run_0108,det0,0.00385276,0.00010043,2774.48,72.3225,9.64807,1.06219,1,0,720127
run_0108,det1,0.00374528,9.66575e-05,2697.08,69.6057,10.4668,1.23176,1,0,720127
run_0108,det2,0.00166134,7.15125e-05,1196.38,51.4981,9.8283,1.00128,1,0,720127
run_0108,det3,0.00356578,9.67879e-05,2567.82,69.6996,11.5635,0.974777,1,0,720127
run_0108,det4,0.00343806,0.000101327,2475.84,72.9686,11.7619,0.870758,1,0,720127
run_0108,det5,0.00340864,0.000105642,2454.65,76.0759,12.5552,1.08846,1,0,720127
run_0108,det6,0.00335969,9.80686e-05,2419.41,70.6218,10.3451,1.02736,1,0,720127
run_0108,det7,0.00355291,0.000106659,2558.55,76.808,11.45,1.53915,1,0,720127
run_0108,det8,0.00386079,9.88693e-05,2780.26,71.1984,11.6731,1.25032,1,0,720127
run_0108,det9,0.00358375,9.01354e-05,2580.76,64.9089,9.97485,1.13115,1,0,720127
run_0108,det10,0.00185815,9.53431e-05,1338.11,68.6591,12.1955,1.04318,1,0,720127
run_0108,det11,0.00321123,0.000101636,2312.49,73.1907,12.7812,1.339,1,0,720127
run_0108,det12,0.00396295,0.000100294,2853.83,72.2247,10.4454,1.11689,1,0,720127
run_0109,det0,0.00567012,0.000106899,4327.48,81.5862,9.48846,1.3163,1,0,763208
run_0109,det1,0.0055432,0.000108092,4230.62,82.4965,10.5733,1.39983,1,0,763208
run_0109,det2,0.00250442,7.9263e-05,1911.39,60.4942,10.304,0.96563,1,0,763208
run_0109,det3,0.00522701,0.000107899,3989.3,82.3495,11.5312,1.01311,1,0,763208
run_0109,det4,0.00497248,0.000110094,3795.04,84.0246,11.3772,1.03207,1,0,763208
run_0109,det5,0.0050807,0.000115134,3877.63,87.8712,12.397,1.03823,1,0,763208
run_0109,det6,0.00496333,0.000108802,3788.05,83.0388,10.5746,1.0275,1,0,763208
run_0109,det7,0.00506711,0.000115113,3867.26,87.8555,11.5833,1.06379,1,0,763208
run_0109,det8,0.00512268,0.000106912,3909.67,81.5961,10.5505,1.17838,1,0,763208
run_0109,det9,0.00515084,9.97683e-05,3931.16,76.144,9.69941,1.33836,1,0,763208
run_0109,det10,0.00284712,0.000105613,2172.94,80.6043,13.2008,1.10716,1,0,763208
run_0109,det11,0.00446625,0.000111343,3408.68,84.9777,12.8228,1.4385,1,0,763208
run_0109,det12,0.00561512,0.000113085,4285.51,86.3075,10.7456,0.987187,1,0,763208
run_0110,det0,0.00697482,0.000139247,3942.7,78.713,9.73626,1.04484,1,0,565276
run_0110,det1,0.00698643,0.000138136,3949.26,78.0848,10.486,1.36246,1,0,565276
run_0110,det2,0.003038,9.77736e-05,1717.31,55.2691,10.3852,0.949402,1,0,565276
run_0110,det3,0.006556,0.000133788,3705.95,75.6274,11.9652,1.07808,1,0,565276
run_0110,det4,0.00635728,0.000136132,3593.62,76.9524,11.4379,0.970482,1,0,565276
run_0110,det5,0.00647465,0.000140532,3659.96,79.4395,12.2823,0.992534,1,0,565276
run_0110,det6,0.00658704,0.000135262,3723.5,76.4602,10.6795,1.1083,1,0,565276
run_0110,det7,0.00618095,0.000149331,3493.94,84.4133,11.5596,0.976739,1,0,565276
run_0110,det8,0.00642943,0.000133799,3634.4,75.6332,10.354,1.08787,1,0,565276
run_0110,det9,0.00674405,0.000127705,3812.25,72.1887,9.87213,1.37044,1,0,565276
run_0110,det10,0.00355797,0.000129532,2011.23,73.2214,12.8978,0.931506,1,0,565276
run_0110,det11,0.0054893,0.00012983,3102.97,73.3898,12.668,1.64118,1,0,565276
run_0110,det12,0.00731048,0.000144191,4132.44,81.5078,10.7868,1.32421,1,0,565276
run_0111,det0,0.0101734,0.000204744,3524.89,70.9402,10.0395,1.04828,1,0,346483
run_0111,det1,0.00984693,0.000195616,3411.8,67.7775,10.7373,1.0337,1,0,346483
run_0111,det2,0.00449423,0.000135401,1557.18,46.9141,10.5341,1.16157,1,0,346483
run_0111,det3,0.00934757,0.000196606,3238.77,68.1206,11.2509,0.937488,1,0,346483
run_0111,det4,0.00907657,0.000204074,3144.88,70.7081,12.0018,0.98256,1,0,346483
run_0111,det5,0.00886936,0.000187314,3073.08,64.9012,11.9168,0.954649,1,0,346483
run_0111,det6,0.00861475,0.000201624,2984.86,69.8592,10.4954,0.891947,1,0,346483
run_0111,det7,0.00915678,0.000203744,3172.67,70.5939,11.6218,0.876135,1,0,346483
run_0111,det8,0.00939948,0.000196835,3256.76,68.1999,10.4907,1.09952,1,0,346483
run_0111,det9,0.00935229,0.000185887,3240.41,64.4067,9.92628,1.17004,1,0,346483
run_0111,det10,0.00535637,0.000178095,1855.89,61.7067,13.5867,1.03217,1,0,346483
run_0111,det11,0.00783007,0.00019788,2712.99,68.5621,12.8878,1.39724,1,0,346483
run_0111,det12,0.0102063,0.000201052,3536.32,69.661,10.6539,0.944554,1,0,346483
run_0112,det0,0.0154613,0.000219405,6393.63,90.7293,9.89799,0.981172,1,0,413525
run_0112,det1,0.0153299,0.000218754,6339.29,90.4603,10.7185,0.967531,1,0,413525
run_0112,det2,0.00717106,0.000160252,2965.41,66.2683,10.455,0.916446,1,0,413525
run_0112,det3,0.0145396,0.000220207,6012.49,91.0612,11.4722,0.956553,1,0,413525
run_0112,det4,0.0138981,0.000219893,5747.23,90.9313,11.558,0.923303,1,0,413525
run_0112,det5,0.014246,0.000223675,5891.09,92.4954,12.2417,1.06994,1,0,413525
run_0112,det6,0.0139937,0.000217416,5786.76,89.9071,10.7465,1.00201,1,0,413525
run_0112,det7,0.0143658,0.000228513,5940.64,94.496,11.5962,0.975837,1,0,413525
run_0112,det8,0.014634,0.000214806,6051.54,88.8277,10.4346,1.05994,1,0,413525
run_0112,det9,0.0143128,0.000207343,5918.71,85.7415,10.0519,1.13129,1,0,413525
run_0112,det10,0.00758036,0.000192093,3134.67,79.4352,13.1121,1.09123,1,0,413525
run_0112,det11,0.0124461,0.000217821,5146.78,90.0745,13.6429,1.85392,1,0,413525
run_0112,det12,0.0161712,0.000223556,6687.18,92.4461,10.4894,1.10237,1,0,413525
run_0113,det0,0.0312101,0.000459027,5546,81.5687,9.88415,0.884589,1,0,177699
run_0113,det1,0.030405,0.000449781,5402.93,79.9256,10.8599,0.997766,1,0,177699
run_0113,det2,0.0133566,0.000319635,2373.45,56.7988,10.4723,0.913251,1,0,177699
run_0113,det3,0.0278371,0.000433629,4946.63,77.0554,11.3264,1.06026,1,0,177699
run_0113,det4,0.0279204,0.000447995,4961.43,79.6083,11.6151,0.872887,1,0,177699
run_0113,det5,0.0283544,0.000453829,5038.55,80.6449,12.3682,1.00937,1,0,177699
run_0113,det6,0.0268325,0.000430814,4768.11,76.5552,10.5431,1.10201,1,0,177699
run_0113,det7,0.0280528,0.000460522,4984.95,81.8344,11.6525,0.838092,1,0,177699
run_0113,det8,0.0279514,0.000440246,4966.93,78.2313,10.3437,1.03983,1,0,177699
run_0113,det9,0.0282215,0.000421048,5014.92,74.8198,10.2118,1.05025,1,0,177699
run_0113,det10,0.0145752,0.000365788,2589.99,65.0002,12.7006,1.14552,1,0,177699
run_0113,det11,0.0241354,0.000449544,4288.84,79.8836,14.1893,1.64879,1,0,177699
run_0113,det12,0.0310792,0.000465026,5522.74,82.6347,10.5572,0.973957,1,0,177699
run_0114,det0,0.0608128,0.000842265,6004.77,83.1669,9.88646,1.71821,1,0,98742
run_0114,det1,0.0594507,0.000837597,5870.28,82.706,10.6169,0.866841,1,0,98742
run_0114,det2,0.0276015,0.000578543,2725.42,57.1265,10.5382,0.933247,1,0,98742
run_0114,det3,0.0557499,0.000802916,5504.86,79.2815,11.3778,0.930753,1,0,98742
run_0114,det4,0.0574302,0.000837173,5670.77,82.6642,11.3423,1.01541,1,0,98742
run_0114,det5,0.057189,0.000852369,5646.96,84.1646,12.1188,0.783346,1,0,98742
run_0114,det6,0.0566604,0.000811141,5594.76,80.0936,10.4903,1.34612,1,0,98742
run_0114,det7,0.0558154,0.000843111,5511.33,83.2505,11.5149,1.40289,1,0,98742
run_0114,det8,0.0587531,0.000817687,5801.39,80.74,10.3446,1.22368,1,0,98742
run_0114,det9,0.0578636,0.000791462,5713.57,78.1505,10.1099,0.877721,1,0,98742
run_0114,det10,0.0311589,0.000696869,3076.69,68.8102,13.1487,1.04911,1,0,98742
run_0114,det11,0.0465524,0.000795347,4596.68,78.5342,13.318,1.5404,1,0,98742
run_0114,det12,0.0630668,0.000845826,6227.34,83.5186,10.6619,1.43697,1,0,98742
run_0115,det0,0.118347,0.000974261,16380.3,134.847,9.94627,1.45281,1,0,138409
run_0115,det1,0.117299,0.000970481,16235.2,134.323,10.8982,1.63085,1,0,138409
run_0115,det2,0.0537815,0.00067436,7443.84,93.3375,10.7607,1.08593,1,0,138409
run_0115,det3,0.108433,0.000937844,15008.1,129.806,11.4605,1.26316,1,0,138409
run_0115,det4,0.111153,0.000975024,15384.6,134.952,11.7273,1.02973,1,0,138409
run_0115,det5,0.111999,0.000978929,15501.6,135.493,12.3196,0.875882,1,0,138409
run_0115,det6,0.108706,0.000943388,15045.9,130.573,10.6453,1.20496,1,0,138409
run_0115,det7,0.110698,0.000986631,15321.6,136.559,11.5552,1.18091,1,0,138409
run_0115,det8,0.113132,0.000959074,15658.5,132.744,10.4215,0.9318,1,0,138409
run_0115,det9,0.113245,0.000936414,15674.2,129.608,10.196,1.23228,1,0,138409
run_0115,det10,0.0600025,0.000762893,8304.88,105.591,13.1781,1.11566,1,0,138409
run_0115,det11,0.0918977,0.000903481,12719.5,125.05,13.092,2.3071,1,0,138409
run_0115,det12,0.121966,0.000996144,16881.2,137.875,10.8387,1.76421,1,0,138409
run_0116,det0,0.0656761,0.000809798,7579.62,93.458,9.82255,0.8038,1,0,115409
run_0116,det1,0.0635177,0.000799294,7330.51,92.2457,11.0708,1.6489,1,0,115409
run_0116,det2,0.0289427,0.000553014,3340.25,63.8228,10.9263,0.72661,1,0,115409
run_0116,det3,0.0590376,0.000750306,6813.47,86.5921,11.3386,0.886081,1,0,115409
run_0116,det4,0.0610564,0.000793748,7046.45,91.6057,11.375,1.01696,1,0,115409
run_0116,det5,0.062228,0.000790779,7181.67,91.263,12.2442,1.02239,1,0,115409
run_0116,det6,0.0613181,0.000798022,7076.66,92.0989,10.7586,0.880095,1,0,115409
run_0116,det7,0.0626317,0.00082725,7228.27,95.4721,11.322,1.35061,1,0,115409
run_0116,det8,0.0634064,0.000789951,7317.67,91.1674,10.7421,1.17382,1,0,115409
run_0116,det9,0.0625826,0.000767777,7222.6,88.6083,10.3281,1.08451,1,0,115409
run_0116,det10,0.0333254,0.000658774,3846.05,76.0284,13.4603,1.25242,1,0,115409
run_0116,det11,0.0502657,0.000752959,5801.12,86.8983,13.2432,1.21505,1,0,115409
run_0116,det12,0.067104,0.000803778,7744.41,92.7632,10.8296,1.62403,1,0,115409
run_0117,det0,0.0147795,0.000313054,2916.49,61.7759,9.80425,1.03234,1,0,197333
run_0117,det1,0.0144473,0.00029728,2850.93,58.6631,10.6683,0.854251,1,0,197333
run_0117,det2,0.00657342,0.000212468,1297.15,41.927,10.2514,1.06245,1,0,197333
run_0117,det3,0.0139841,0.000302895,2759.52,59.7712,11.4075,0.74351,1,0,197333
run_0117,det4,0.0142831,0.000317472,2818.53,62.6476,11.5857,0.917283,1,0,197333
run_0117,det5,0.0147658,0.000327739,2913.79,64.6737,12.041,0.956239,1,0,197333
run_0117,det6,0.0148426,0.000309543,2928.94,61.0831,10.6217,0.934023,1,0,197333
run_0117,det7,0.0153142,0.000333494,3021.99,65.8095,11.6926,1.19664,1,0,197333
run_0117,det8,0.015023,0.000319064,2964.54,62.9618,10.5693,0.958705,1,0,197333
run_0117,det9,0.0146016,0.000302171,2881.37,59.6284,9.7814,1.01212,1,0,197333
run_0117,det10,0.00738637,0.000280799,1457.57,55.411,13.0738,1.00393,1,0,197333
run_0117,det11,0.0118818,0.000307618,2344.68,60.7032,12.4089,1.11963,1,0,197333
run_0117,det12,0.0158372,0.000329928,3125.19,65.1057,10.6181,0.838838,1,0,197333
