,Angle,Detector,Ep,Q int,Run,Yield,Yield effcor,Yield err,Yield err effcor
2442,-105,11,2661,243408.0,309,0.00765427,4.4183123716779527e-10,0.000260084,1.5012958190336747e-11
2443,-120,12,2661,243408.0,309,0.00907253,4.961068798634447e-10,0.00027069,1.4801953954435625e-11
2444,120,0,2659,254829.0,310,0.00817222,4.340468432399178e-10,0.00024737,1.3138433328062444e-11
2445,105,1,2659,254829.0,310,0.00682492,3.8437416715686635e-10,0.000228082,1.284540020886287e-11
2446,90,2,2659,254829.0,310,0.0034093000000000005,3.256267083295595e-10,0.00016968900000000002,1.6207218640112226e-11
2447,45,3,2659,254829.0,310,0.00769144,4.399665108703816e-10,0.00022920900000000002,1.3111235866117309e-11
2448,30,4,2659,254829.0,310,0.00853851,4.723536674180582e-10,0.000248837,1.3765758843089412e-11
2449,15,5,2659,254829.0,310,0.00952909,5.069354125057071e-10,0.00027489999999999996,1.4624328755192665e-11
2450,0,6,2659,254829.0,310,0.00913473,5.036131657400547e-10,0.000251814,1.3882933126394115e-11
2451,-15,7,2659,254829.0,310,0.00908924,4.962146842011278e-10,0.00028134,1.5359374298967268e-11
2452,-30,8,2659,254829.0,310,0.00867709,4.746856178355051e-10,0.000250605,1.3709502754686968e-11
2453,-45,9,2659,254829.0,310,0.00816314,4.5204545838167536e-10,0.000218016,1.2072945294891345e-11
2454,-90,10,2659,254829.0,310,0.004143,3.6820632538156263e-10,0.000190247,1.6908073566224027e-11
2455,-105,11,2659,254829.0,310,0.00629203,3.631979795848438e-10,0.000241626,1.3947497868758964e-11
2456,-120,12,2659,254829.0,310,0.00841708,4.6026536108020613e-10,0.000263585,1.4413436156045344e-11
2457,120,0,2657,305387.0,311,0.00638894,3.393324260297986e-10,0.00022395,1.1894539126893256e-11
2458,105,1,2657,305387.0,311,0.00522899,2.944926352721472e-10,0.000193305,1.0886786714314314e-11
2459,90,2,2657,305387.0,311,0.00258613,2.4700466348292126e-10,0.000141436,1.3508737605754718e-11
2460,45,3,2657,305387.0,311,0.00608519,3.480856396569872e-10,0.00020637099999999998,1.1804854333496918e-11
2461,30,4,2657,305387.0,311,0.00663372,3.669799497364905e-10,0.00021564099999999998,1.1929343315835841e-11
2462,15,5,2657,305387.0,311,0.00782366,4.1620871556511694e-10,0.000230825,1.2279595070634221e-11
2463,0,6,2657,305387.0,311,0.007499,4.1343259514891734e-10,0.00021123099999999998,1.1645523470582872e-11
2464,-15,7,2657,305387.0,311,0.00729852,3.984527635903128e-10,0.000243605,1.3299283344351751e-11
2465,-30,8,2657,305387.0,311,0.00661899,3.620959742951876e-10,0.00021155599999999998,1.1573302866146149e-11
2466,-45,9,2657,305387.0,311,0.0062229,3.446019158024152e-10,0.000186826,1.0345754796268946e-11
2467,-90,10,2657,305387.0,311,0.00266824,2.3713802694571586e-10,0.000180394,1.603239484935593e-11
2468,-105,11,2657,305387.0,311,0.00434181,2.5062445979139815e-10,0.000187945,1.0848842785726303e-11
2469,-120,12,2657,305387.0,311,0.00629203,3.440627224497675e-10,0.00022089900000000001,1.2079267156455263e-11
2470,120,0,2655,181727.0,312,0.00550752,2.925180269352406e-10,0.000246179,1.3075176368472673e-11
2471,105,1,2655,181727.0,312,0.00431761,2.431644250567271e-10,0.000218769,1.2320899318195745e-11
2472,90,2,2655,181727.0,312,0.00175886,1.6799102226630944e-10,0.00016853599999999997,1.609709409997085e-11
2473,45,3,2655,181727.0,312,0.0054428,3.1133958340249854e-10,0.00023594900000000003,1.3496778012096007e-11
2474,30,4,2655,181727.0,312,0.00592406,3.277212847446009e-10,0.000265393,1.4681643150512294e-11
2475,15,5,2655,181727.0,312,0.00624163,3.3204674095406765e-10,0.00028856,1.535102330155837e-11
2476,0,6,2655,181727.0,312,0.00691841,3.8142368323832795e-10,0.000276968,1.5269715830538116e-11
2477,-15,7,2655,181727.0,312,0.00592553,3.234962436545089e-10,0.000276814,1.5112283490418447e-11
2478,-30,8,2655,181727.0,312,0.0056305,3.080200126105424e-10,0.000248795,1.3610485576314696e-11
2479,-45,9,2655,181727.0,312,0.00583557,3.2315296755517527e-10,0.000224606,1.2437875893991108e-11
2480,-90,10,2655,181727.0,312,0.00193463,1.7193893393022752e-10,0.00019623200000000001,1.7439986396880232e-11
2481,-105,11,2655,181727.0,312,0.00397579,2.2949650514279593e-10,0.00023710599999999998,1.3686587658902449e-11
2482,-120,12,2655,181727.0,312,0.00531045,2.903876625561811e-10,0.000259402,1.4184700061651742e-11
2483,120,0,2653,180883.0,313,0.00467428,2.4826258696161913e-10,0.000235096,1.2486530790694783e-11
2484,105,1,2653,180883.0,313,0.00365669,2.0594192654285204e-10,0.0002147,1.2091736414284593e-11
2485,90,2,2653,180883.0,313,0.00178489,1.7047718165909344e-10,0.000149249,1.4254967468828913e-11
2486,45,3,2653,180883.0,313,0.00453664,2.5950532954492374e-10,0.000228123,1.3049114386809762e-11
2487,30,4,2653,180883.0,313,0.00460843,2.549401255651633e-10,0.000224253,1.2405762478406867e-11
2488,15,5,2653,180883.0,313,0.00526038,2.798454947153161e-10,0.000267817,1.4247522205272587e-11
2489,0,6,2653,180883.0,313,0.00533811,2.942990626070659e-10,0.00024303200000000001,1.3398766564106104e-11
2490,-15,7,2653,180883.0,313,0.00488817,2.668629866602077e-10,0.000273635,1.4938730313136807e-11
2491,-30,8,2653,180883.0,313,0.00500728,2.739263739889027e-10,0.000246497,1.3484772053718296e-11
2492,-45,9,2653,180883.0,313,0.0041775,2.3133498903478917e-10,0.000186446,1.0324711757170629e-11
2493,-90,10,2653,180883.0,313,0.0020593000000000005,1.830188959348907e-10,0.000187761,1.6687131996130237e-11
2494,-105,11,2653,180883.0,313,0.00306928,1.7716957719212552e-10,0.00023578099999999998,1.3610104024375924e-11
2495,-120,12,2653,180883.0,313,0.00472973,2.5863255265031145e-10,0.000265688,1.4528433049784224e-11
2496,120,0,2651,219190.0,314,0.00414794,2.2030736604601743e-10,0.000208428,1.1070127265640132e-11
2497,105,1,2651,219190.0,314,0.0029011999999999996,1.633933194463086e-10,0.000176936,9.964897411261568e-12
2498,90,2,2651,219190.0,314,0.00196205,1.8739796529434545e-10,0.000149538,1.4282570237346567e-11
2499,45,3,2651,219190.0,314,0.0041565,2.377605237033301e-10,0.00020046700000000002,1.1467133142123298e-11
2500,30,4,2651,219190.0,314,0.00383323,2.1205576248747422e-10,0.000200127,1.107110285042399e-11
2501,15,5,2651,219190.0,314,0.00443229,2.3579216478120375e-10,0.00024385599999999998,1.2972827620684839e-11
2502,0,6,2651,219190.0,314,0.00475589,2.6220028603050865e-10,0.000210335,1.1596125470149023e-11
2503,-15,7,2651,219190.0,314,0.00503047,2.746316614406977e-10,0.000220586,1.204259237617116e-11
2504,-30,8,2651,219190.0,314,0.00408481,2.2346207756179197e-10,0.00020360099999999998,1.113811963191884e-11
2505,-45,9,2651,219190.0,314,0.00373314,2.0672792363024125e-10,0.000175987,9.74552979419879e-12
2506,-90,10,2651,219190.0,314,0.00217425,1.9323499950781138e-10,0.000244662,2.1744169920469192e-11
2507,-105,11,2651,219190.0,314,0.00301462,1.7401441080478987e-10,0.000183164,1.0572866742955508e-11
2508,-120,12,2651,219190.0,314,0.00372033,2.0343623094796812e-10,0.00023003099999999998,1.2578625993175888e-11
2509,120,0,2649,212532.0,315,0.00326284,1.7329751303769766e-10,0.00019359799999999999,1.0282469238170485e-11
2510,105,1,2649,212532.0,315,0.00248487,1.399459388158517e-10,0.000177648,1.0004996695504563e-11
2511,90,2,2649,212532.0,315,0.00137059,1.30906846029804e-10,0.00014555700000000002,1.3902339713233122e-11
2512,45,3,2649,212532.0,315,0.00280689,1.6055999912850723e-10,0.00019381,1.1086338770345821e-11
2513,30,4,2649,212532.0,315,0.00328112,1.8151282427949834e-10,0.00019952900000000002,1.1038021259711326e-11
2514,15,5,2649,212532.0,315,0.00349081,1.8570663172758863e-10,0.00019479,1.0362579113219278e-11
2515,0,6,2649,212532.0,315,0.00382052,2.106317506892041e-10,0.000199919,1.1021873715105535e-11
2516,-15,7,2649,212532.0,315,0.00371371,2.0274494180641837e-10,0.000239011,1.3048480168374443e-11
2517,-30,8,2649,212532.0,315,0.00315211,1.7243814260719594e-10,0.00020606299999999998,1.1272804876754497e-11
2518,-45,9,2649,212532.0,315,0.00319333,1.7683517906270814e-10,0.000158796,8.793553780674658e-12
2519,-90,10,2649,212532.0,315,0.00128836,1.1450212439502534e-10,0.000246532,2.191036490682293e-11
2520,-105,11,2649,212532.0,315,0.00274776,1.5861031819365937e-10,0.00021244900000000003,1.2263299374736054e-11
2521,-120,12,2649,212532.0,315,0.00382595,2.0921177631967554e-10,0.000230489,1.260367049024313e-11
2522,120,0,2644,182577.0,316,0.00307041,1.6307707917215593e-10,0.000239642,1.2727980109162553e-11
2523,105,1,2644,182577.0,316,0.00196797,1.1083453428607196e-10,0.00017255799999999998,9.718331868542715e-12
2524,90,2,2644,182577.0,316,0.00112184,1.0714840772957292e-10,0.000120474,1.1506629530782078e-11
2525,45,3,2644,182577.0,316,0.00287713,1.6457787454891428e-10,0.000208375,1.1919487339511948e-11
2526,30,4,2644,182577.0,316,0.00251693,1.3923753864954581e-10,0.000212903,1.1777876099495913e-11
2527,15,5,2644,182577.0,316,0.00285808,1.5204620417839596e-10,0.000202111,1.075204695904236e-11
2528,0,6,2644,182577.0,316,0.00276936,1.5267951616236905e-10,0.000185143,1.0207247761522337e-11
2529,-15,7,2644,182577.0,316,0.00285644,1.5594345319734865e-10,0.000218315,1.1918610222787516e-11
2530,-30,8,2644,182577.0,316,0.00240339,1.3147894824758928e-10,0.000197518,1.080534532471523e-11
2531,-45,9,2644,182577.0,316,0.00256897,1.4226035829579947e-10,0.000168929,9.35468303115689e-12
2532,-90,10,2644,182577.0,316,0.0012355,1.0980422761499413e-10,0.000157429,1.3991395992878115e-11
2533,-105,11,2644,182577.0,316,0.00217283,1.2542334762887912e-10,0.000202988,1.1717177362467801e-11
2534,-120,12,2644,182577.0,316,0.00228734,1.250770303969071e-10,0.000188825,1.032538680943628e-11
2535,120,0,2639,203397.0,317,0.00221282,1.1752835039415908e-10,0.000188276,9.999804637887718e-12
2536,105,1,2639,203397.0,317,0.00199013,1.120825681889157e-10,0.000164903,9.287208243711096e-12
2537,90,2,2639,203397.0,317,0.0011680999999999998,1.1156676091859276e-10,0.000131373,1.2547607295743761e-11
2538,45,3,2639,203397.0,317,0.00218336,1.2489277445757319e-10,0.000211255,1.2084229384084448e-11
2539,30,4,2639,203397.0,317,0.00255041,1.410896651663686e-10,0.00018691,1.0339933311211122e-11
2540,15,5,2639,203397.0,317,0.00238356,1.2680234648136425e-10,0.00020119099999999998,1.0703104134543351e-11
2541,0,6,2639,203397.0,317,0.00283351,1.5621621451932374e-10,0.000214965,1.1851385226855184e-11
2542,-15,7,2639,203397.0,317,0.00244308,1.333766267232564e-10,0.000191589,1.0459540636115875e-11
2543,-30,8,2639,203397.0,317,0.002258,1.235252976599955e-10,0.000169075,9.249353278061886e-12
2544,-45,9,2639,203397.0,317,0.00236189,1.3079300951559025e-10,0.000155601,8.616626122992754e-12
2545,-90,10,2639,203397.0,317,0.00132087,1.1739142867650125e-10,0.000143884,1.2787593270866704e-11
2546,-105,11,2639,203397.0,317,0.00183107,1.0569576503583423e-10,0.000180161,1.039952307919464e-11
2547,-120,12,2639,203397.0,317,0.00216857,1.1858241267490658e-10,0.000204667,1.1191663932884392e-11
2548,120,0,2635,191686.0,318,0.00210144,1.1161268275426909e-10,0.000241776,1.2841322134153801e-11
2549,105,1,2635,191686.0,318,0.00177967,1.0022962526506688e-10,0.00015991,9.006006381035162e-12
2551,45,3,2635,191686.0,318,0.00171571,9.81422129491256e-11,0.00016926299999999998,9.68219885085932e-12
2552,30,4,2635,191686.0,318,0.00276058,1.5271635065145363e-10,0.000206931,1.1447502755455718e-11
2553,15,5,2635,191686.0,318,0.0023052,1.2263369460338353e-10,0.00018465599999999997,9.823463261618248e-12
2554,0,6,2635,191686.0,318,0.0021501999999999997,1.1854417470185384e-10,0.0002055,1.1329563715575746e-11
2555,-15,7,2635,191686.0,318,0.00228835,1.24929353014295e-10,0.000222686,1.215723901734494e-11
2556,-30,8,2635,191686.0,318,0.0023334,1.276501016651167e-10,0.00022547099999999998,1.2334531615897629e-11
2557,-45,9,2635,191686.0,318,0.00219728,1.216774972367113e-10,0.000153454,8.497732952087262e-12
2558,-90,10,2635,191686.0,318,0.00119555,1.0625369836107343e-10,0.000147247,1.3086477623330669e-11
2559,-105,11,2635,191686.0,318,0.00198762,1.1473237860951508e-10,0.000194931,1.1252099141048786e-11
2560,-120,12,2635,191686.0,318,0.00208197,1.1384692480149372e-10,0.00020009799999999998,1.0941820467600057e-11
2561,120,0,2629,152550.0,319,0.00195202,1.0367661650581904e-10,0.00019983200000000002,1.0613572417081193e-11
2562,105,1,2629,152550.0,319,0.0018887,1.0637010976087245e-10,0.000170867,9.623096068465607e-12
2564,45,3,2629,152550.0,319,0.00218639,1.2506609681696714e-10,0.00019330200000000001,1.1057280104150397e-11
2565,30,4,2629,152550.0,319,0.00263128,1.4556342476659141e-10,0.000232793,1.2878198573199778e-11
2566,15,5,2629,152550.0,319,0.00245127,1.3040443196704666e-10,0.00021453599999999998,1.1413041083390372e-11
2567,0,6,2629,152550.0,319,0.00173476,9.564026253640962e-11,0.00017313099999999998,9.545005818206053e-12
2568,-15,7,2629,152550.0,319,0.00200065,1.0922276317348713e-10,0.000213582,1.1660218531037277e-11
2569,-30,8,2629,152550.0,319,0.00230746,1.2623103779385882e-10,0.000200431,1.0964702805708838e-11
2570,-45,9,2629,152550.0,319,0.00185757,1.0286557404700259e-10,0.00018578,1.0287831062329895e-11
2571,-90,10,2629,152550.0,319,0.00149698,1.330430859207559e-10,0.00017438,1.5497904663296378e-11
2572,-105,11,2629,152550.0,319,0.00135832,7.84069814717484e-11,0.00019396099999999998,1.1196107348225594e-11
2573,-120,12,2629,152550.0,319,0.00235562,1.2881073838763032e-10,0.000273675,1.496518064383675e-11
2574,120,0,2624,181022.0,320,0.0017901,9.507664430029745e-11,0.000197107,1.0468840918439601e-11
2575,105,1,2624,181022.0,320,0.00192902,1.0864090068879026e-10,0.000157847,8.889819831325477e-12
2577,45,3,2624,181022.0,320,0.00202552,1.1586399518141928e-10,0.00017382900000000002,9.943383634025304e-12
2578,30,4,2624,181022.0,320,0.00263965,1.460264563957971e-10,0.000331554,1.8341695195897983e-11
2579,15,5,2624,181022.0,320,0.00260043,1.3833955338255972e-10,0.000215254,1.1451237765988513e-11
2580,0,6,2624,181022.0,320,0.00223534,1.2323808737700772e-10,0.00018680400000000002,1.0298821510094462e-11
2581,-15,7,2624,181022.0,320,0.00295616,1.613875308439436e-10,0.00027835,1.519613931939127e-11
2582,-30,8,2624,181022.0,320,0.00200535,1.097039219054349e-10,0.000195978,1.0721098664663683e-11
2583,-45,9,2624,181022.0,320,0.00180597,1.0000815084312585e-10,0.00015169,8.400048949536127e-12
2585,-105,11,2624,181022.0,320,0.00203284,1.1734263517803538e-10,0.00019041599999999997,1.0991477548681048e-11
2586,-120,12,2624,181022.0,320,0.00197045,1.077487538125445e-10,0.00016569900000000003,9.060803754464624e-12
2587,120,0,2619,194796.0,321,0.00197138,1.047048740521314e-10,0.000184253,9.786133144663822e-12
2588,105,1,2619,194796.0,321,0.00176935,9.964841092042126e-11,0.00016758299999999998,9.438143751816744e-12
2589,90,2,2619,194796.0,321,0.00115917,1.1071384492252818e-10,0.000149579,1.4286486201046305e-11
2590,45,3,2619,194796.0,321,0.00183431,1.049263818679792e-10,0.000162473,9.293796599940131e-12
2591,30,4,2619,194796.0,321,0.00240543,1.3306931563205053e-10,0.0001788,9.891284982315277e-12
2592,15,5,2619,194796.0,321,0.00222421,1.183251300858024e-10,0.000171714,9.134965397850686e-12
2593,0,6,2619,194796.0,321,0.00294529,1.62378835600234e-10,0.00021622299999999998,1.1920740901571455e-11
2594,-15,7,2619,194796.0,321,0.00218481,1.192767276680411e-10,0.00019113900000000003,1.0434973498721494e-11
2595,-30,8,2619,194796.0,321,0.00241428,1.3207469248652523e-10,0.00017903599999999998,9.794275992849847e-12
2596,-45,9,2619,194796.0,321,0.00212187,1.1750156150406897e-10,0.000155701,8.622163764860733e-12
2597,-90,10,2619,194796.0,321,0.00109852,9.763022267877244e-11,0.000147658,1.3123004970598788e-11
2598,-105,11,2619,194796.0,321,0.0021774,1.2568714401362342e-10,0.000177818,1.0264276923952645e-11
2599,-120,12,2619,194796.0,321,0.00194383,1.0629311077339613e-10,0.000212169,1.1601890607553482e-11
2600,120,0,2614,180073.0,322,0.00239386,1.2714383315161726e-10,0.000186198,9.88943691158415e-12
2601,105,1,2614,180073.0,322,0.00213692,1.2034966641086648e-10,0.00017476200000000002,9.84245942819378e-12
2603,45,3,2614,180073.0,322,0.00219127,1.2534524305915945e-10,0.00017465,9.990346557148226e-12
2604,30,4,2614,180073.0,322,0.00224397,1.2413728613963093e-10,0.000188761,1.0442331345340123e-11
2605,15,5,2614,180073.0,322,0.00276748,1.4722639993968934e-10,0.00019716,1.0488660085026504e-11
2606,0,6,2614,180073.0,322,0.00272679,1.5033255982479215e-10,0.00018935,1.043918681043439e-11
2607,-15,7,2614,180073.0,322,0.00290634,1.5866767576619226e-10,0.000219502,1.1983412871870028e-11
2608,-30,8,2614,180073.0,322,0.00226107,1.2369324392386449e-10,0.000174365,9.538746025901292e-12
2609,-45,9,2614,180073.0,322,0.00238339,1.3198360251720555e-10,0.000151989,8.416606498721382e-12
2610,-90,10,2614,180073.0,322,0.00116379,1.0343104982278755e-10,0.000153864,1.3674559026914979e-11
2611,-105,11,2614,180073.0,322,0.00256006,1.4777561766488323e-10,0.00021381099999999998,1.2341918778679541e-11
2612,-120,12,2614,180073.0,322,0.00237599,1.2992461700173447e-10,0.000205028,1.1211404246074946e-11
2613,120,0,2609,193394.0,323,0.00397277,2.1100365352600005e-10,0.000217469,1.1550317166270816e-11
2614,105,1,2609,193394.0,323,0.00286888,1.6157308227393006e-10,0.000189557,1.0675702279844177e-11
2615,90,2,2609,193394.0,323,0.00203203,1.940818467506276e-10,0.000160611,1.5340166970204697e-11
2616,45,3,2609,193394.0,323,0.00316233,1.8089191312949644e-10,0.00020439299999999998,1.1691708582050945e-11
2617,30,4,2609,193394.0,323,0.00346773,1.9183616147496732e-10,0.00020705099999999998,1.1454141201752574e-11
2618,15,5,2609,193394.0,323,0.00390502,2.0774207448382124e-10,0.000216823,1.1534706561248232e-11
2619,0,6,2609,193394.0,323,0.00330296,1.8209778963502708e-10,0.00018353599999999999,1.0118651124583502e-11
2620,-15,7,2609,193394.0,323,0.00356208,1.944669083772849e-10,0.00022020099999999997,1.2021573825289299e-11
2621,-30,8,2609,193394.0,323,0.00362148,1.9811532106719241e-10,0.000191445,1.0473118073745723e-11
2622,-45,9,2609,193394.0,323,0.00337398,1.8683892909721078e-10,0.00017657599999999998,9.77814650480118e-12
2623,-90,10,2609,193394.0,323,0.00219183,1.94797410128185e-10,0.00016526599999999999,1.468790407205149e-11
2624,-105,11,2609,193394.0,323,0.00314357,1.8145785584040883e-10,0.000207525,1.1979068871786166e-11
2625,-120,12,2609,193394.0,323,0.0036955999999999994,2.0208393747095306e-10,0.0002016,1.1023953294226687e-11
2626,120,0,2608,189619.0,324,0.00318801,1.6932310641628473e-10,0.00019476900000000002,1.0344663948228946e-11
2627,105,1,2608,189619.0,324,0.00234714,1.321890927220491e-10,0.000202725,1.1417313761461781e-11
2628,90,2,2608,189619.0,324,0.00123338,1.178017392190514e-10,0.000137576,1.3140063950120984e-11
2629,45,3,2608,189619.0,324,0.00305816,1.7493317049646963e-10,0.00018801,1.075456659724843e-11
2630,30,4,2608,189619.0,324,0.00348009,1.9251992144354347e-10,0.00020794599999999998,1.1503652947049957e-11
2631,15,5,2608,189619.0,324,0.00310249,1.650485038912248e-10,0.000183904,9.78345782246254e-12
2632,0,6,2608,189619.0,324,0.0032524,1.7931033103911702e-10,0.000193584,1.067261441516309e-11
2633,-15,7,2608,189619.0,324,0.00328597,1.79393058808479e-10,0.000304844,1.664254318189514e-11
2634,-30,8,2608,189619.0,324,0.00280118,1.5324029818389113e-10,0.000191211,1.046031695786776e-11
2635,-45,9,2608,189619.0,324,0.00301431,1.669216925906536e-10,0.000163677,9.063846080250674e-12
2636,-90,10,2608,189619.0,324,0.00145787,1.29567211099208e-10,0.000190546,1.6934646989175774e-11
2637,-105,11,2608,189619.0,324,0.00275979,1.5930473187166244e-10,0.000218978,1.2640176091584104e-11
2638,-120,12,2608,189619.0,324,0.00300381,1.6425526361473741e-10,0.00021686400000000002,1.1858624043646709e-11
2639,120,0,2605,205683.0,325,0.00390294,2.0729480928741576e-10,0.000202545,1.0757666566003994e-11
2640,105,1,2605,205683.0,325,0.00319721,1.8006437159345524e-10,0.00018733099999999997,1.0550335697365378e-11
2641,90,2,2605,205683.0,325,0.00151028,1.4424882088873578e-10,0.00014675700000000002,1.401695328493273e-11
2642,45,3,2605,205683.0,325,0.00414338,2.3701003216694434e-10,0.00022232,1.271717060741594e-11
2643,30,4,2605,205683.0,325,0.00383436,2.1211827452343628e-10,0.000202941,1.1226774416085261e-11
2644,15,5,2605,205683.0,325,0.00427926,2.2765116431046116e-10,0.000215094,1.1442725970423469e-11
2645,0,6,2605,205683.0,325,0.00380595,2.0982848186518494e-10,0.00020230200000000002,1.1153252548848684e-11
2646,-15,7,2605,205683.0,325,0.00405608,2.2143616587245028e-10,0.00019992599999999998,1.091468780157578e-11
2647,-30,8,2605,205683.0,325,0.00371714,2.0334846100260217e-10,0.000187075,1.0234054499443606e-11
2648,-45,9,2605,205683.0,325,0.0039629,2.1945120958610797e-10,0.00017742400000000003,9.825105707841639e-12
2649,-90,10,2605,205683.0,325,0.00195424,1.7368175942883538e-10,0.00016563,1.4720254326079706e-11
2650,-105,11,2605,205683.0,325,0.00304399,1.7570974993387966e-10,0.000210869,1.2172096248281784e-11
2651,-120,12,2605,205683.0,325,0.00375595,2.0538401475918018e-10,0.00021522599999999998,1.1769054423131114e-11
2652,120,0,2603,206204.0,326,0.00527394,2.801120146590195e-10,0.000251165,1.3339995176629359e-11
2653,105,1,2603,206204.0,326,0.00432616,2.4364595438295966e-10,0.00020882,1.1760579403963245e-11
2654,90,2,2603,206204.0,326,0.00215832,2.0614397005891377e-10,0.000159497,1.5233767371143558e-11
2655,45,3,2603,206204.0,326,0.00504186,2.884049739056591e-10,0.000216308,1.2373271589370847e-11
2656,30,4,2603,206204.0,326,0.00571972,3.1641711710877145e-10,0.000228583,1.264529974895175e-11
2657,15,5,2603,206204.0,326,0.00585045,3.1123646477197864e-10,0.00023565,1.2536278905642605e-11
2658,0,6,2603,206204.0,326,0.00511503,2.820002836597635e-10,0.00021588,1.1901830729530375e-11
2659,-15,7,2603,206204.0,326,0.00590764,3.2251956345898554e-10,0.000261635,1.4283606649286637e-11
2660,-30,8,2603,206204.0,326,0.00536302,2.9338735246081e-10,0.00022593,1.2359641497042863e-11
2661,-45,9,2603,206204.0,326,0.00542466,3.003982433554661e-10,0.000202273,1.1201154335615537e-11
2662,-90,10,2603,206204.0,326,0.00266586,2.369265060539929e-10,0.00022204400000000002,1.9734010454507287e-11
2663,-105,11,2603,206204.0,326,0.00425438,2.4557769438260274e-10,0.000200239,1.1558495467136924e-11
2664,-120,12,2603,206204.0,326,0.00492853,2.6950339548211837e-10,0.00022621,1.2369684894280848e-11
2665,120,0,2602,178865.0,327,0.0104564,5.553652999618068e-10,0.000320695,1.703290567224395e-11
2666,105,1,2602,178865.0,327,0.00888053,5.001445178348708e-10,0.00027947,1.5739532257569238e-11
2667,90,2,2602,178865.0,327,0.00437663,4.1801766358971037e-10,0.000205059,1.958545366595815e-11
2668,45,3,2602,178865.0,327,0.0106201,6.074920095709698e-10,0.000309256,1.7690092269553004e-11
2669,30,4,2602,178865.0,327,0.0121005,6.69404328459206e-10,0.000321869,1.7805917259355905e-11
2670,15,5,2602,178865.0,327,0.012548299999999998,6.67553526805326e-10,0.0003405,1.811416493686105e-11
2671,0,6,2602,178865.0,327,0.0115554,6.370688105059074e-10,0.000319372,1.7607520306427527e-11
2672,-15,7,2602,178865.0,327,0.011967,6.533220737745835e-10,0.00035729699999999996,1.950614331022289e-11
2673,-30,8,2602,178865.0,327,0.0118031,6.456959436716975e-10,0.000302807,1.656524570794077e-11
2674,-45,9,2602,178865.0,327,0.0111696,6.185324460856927e-10,0.000275537,1.5258252273771085e-11
2675,-90,10,2602,178865.0,327,0.00461615,4.1025721190202765e-10,0.00024635200000000003,2.1894367528457332e-11
2676,-105,11,2602,178865.0,327,0.00847092,4.889711316101235e-10,0.000287408,1.659019504301804e-11
2677,-120,12,2602,178865.0,327,0.010838500000000001,5.926741953347021e-10,0.000320326,1.751616499467489e-11
2704,120,0,2597,174550.0,330,0.00517522,2.748687509724515e-10,0.000237599,1.2619471319538784e-11
2705,105,1,2597,174550.0,330,0.00483338,2.722121888685369e-10,0.00023250299999999998,1.3094387478017748e-11
2706,90,2,2597,174550.0,330,0.00247691,2.36572918232062e-10,0.00016646,1.589881262093053e-11
2707,45,3,2597,174550.0,330,0.00572308,3.27372187656936e-10,0.00024717900000000004,1.413915758173113e-11
2708,30,4,2597,174550.0,330,0.00483284,2.6735457334414186e-10,0.000240327,1.3294982359870713e-11
2709,15,5,2597,174550.0,330,0.00578711,3.0786685770266654e-10,0.000236603,1.2586977287976901e-11
2710,0,6,2597,174550.0,330,0.00526975,2.9053025980610845e-10,0.000231251,1.2749260042776675e-11
2711,-15,7,2597,174550.0,330,0.00494697,2.700730926130736e-10,0.000248046,1.3541733693614967e-11
2712,-30,8,2597,174550.0,330,0.00522121,2.856295480050244e-10,0.00022513900000000001,1.2316369348925477e-11
2713,-45,9,2597,174550.0,330,0.00561389,3.108771230622412e-10,0.000224407,1.2426855986673833e-11
2714,-90,10,2597,174550.0,330,0.00225382,2.003067294886492e-10,0.00019990400000000002,1.7766332915538478e-11
2715,-105,11,2597,174550.0,330,0.00481062,2.776858127743258e-10,0.000256934,1.4831129172405766e-11
2716,-120,12,2597,174550.0,330,0.00544716,2.978632808838286e-10,0.000274013,1.498366326394314e-11
2717,120,0,2596,221000.0,332,0.00482074,2.560414402794346e-10,0.000235055,1.2484353179155587e-11
2718,105,1,2596,221000.0,332,0.00450731,2.5384818098495153e-10,0.0002043,1.150601653208357e-11
2719,90,2,2596,221000.0,332,0.00240786,2.299778622938471e-10,0.00014895700000000002,1.4227078166382009e-11
2720,45,3,2596,221000.0,332,0.00520761,2.9788622178339924e-10,0.000212109,1.2133079976468098e-11
2721,30,4,2596,221000.0,332,0.00573674,3.173586700752088e-10,0.000227775,1.2600600877219588e-11
2722,15,5,2596,221000.0,332,0.00581882,3.095537891862139e-10,0.000239787,1.2756362019721296e-11
2723,0,6,2596,221000.0,332,0.00522553,2.880923361686254e-10,0.000213367,1.1763284775188565e-11
2724,-15,7,2596,221000.0,332,0.00608781,3.3235569933530935e-10,0.00025889,1.4133747111180909e-11
2725,-30,8,2596,221000.0,332,0.00539562,2.9517075578397917e-10,0.00021705900000000002,1.1874347911771907e-11
2726,-45,9,2596,221000.0,332,0.00537865,2.978503743320093e-10,0.00018743700000000001,1.0379589788082293e-11
2727,-90,10,2596,221000.0,332,0.00228322,2.0291963462169718e-10,0.000157858,1.4029523077982795e-11
2728,-105,11,2596,221000.0,332,0.00493466,2.848458354359635e-10,0.00022337599999999998,1.2894044034714404e-11
2729,-120,12,2596,221000.0,332,0.00562484,3.0757923337052594e-10,0.000246106,1.3457644094389647e-11
2730,120,0,2594,190100.0,333,0.00598857,3.1806778378718083e-10,0.000236412,1.2556426809855272e-11
