Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q int,Time
run_0081,det3,0.00242947,9.45986e-05,1170,45.5573,13.0397,0.931476,1,0,481585,844
run_0081,det4,0.00235509,9.45135e-05,1134.17,45.5163,13.8649,1.01053,1,0,481585,844
run_0081,det5,0.00244938,9.7236e-05,1179.59,46.8274,14.5931,1.01806,1,0,481585,844
run_0081,det6,0.00247505,9.01603e-05,1191.95,43.4198,12.0272,1.19092,1,0,481585,844
run_0081,det7,0.00236368,9.32419e-05,1138.31,44.9039,13.5176,1.11159,1,0,481585,844
run_0081,det8,0.00234943,9.09101e-05,1131.45,43.7809,11.9517,1.00586,1,0,481585,844
run_0081,det9,0.0024576,9.00132e-05,1183.55,43.349,11.4684,1.06627,1,0,481585,844
run_0081,det10,0.0013303,8.05729e-05,640.653,38.8027,14.2636,1.10771,1,0,481585,844
run_0081,det11,0.0021053,0.000115801,1013.88,55.7679,14.7587,1.01677,1,0,481585,844
run_0081,det12,0.00266591,9.15051e-05,1283.86,44.0675,12.5257,1.17699,1,0,481585,844
run_0082,det0,0.00320208,0.000153639,595.036,28.5503,8.73365,1.32232,1,0,185828,334
run_0082,det1,0.00335212,0.000163043,622.919,30.2979,10.4633,0.754239,1,0,185828,334
run_0082,det2,0.0016743,0.000127152,311.132,23.6283,10.585,0.944635,1,0,185828,334
run_0082,det3,0.00336388,0.000170811,625.104,31.7415,12.2478,0.938822,1,0,185828,334
run_0082,det4,0.00297973,0.000160025,553.717,29.7372,12.3745,1.05215,1,0,185828,334
run_0082,det5,0.00312923,0.00017854,581.499,33.1778,13.7378,0.768294,1,0,185828,334
run_0082,det6,0.00307196,0.000155179,570.857,28.8366,11.0311,0.867819,1,0,185828,334
run_0082,det7,0.00301246,0.00016207,559.799,30.1171,12.0532,1.15732,1,0,185828,334
run_0082,det8,0.00365698,0.000165542,679.569,30.7624,11.4251,1.05021,1,0,185828,334
run_0082,det9,0.00363879,0.000167642,676.189,31.1526,10.6444,0.667931,1,0,185828,334
run_0082,det10,0.00166989,0.0001671,310.313,31.0518,15.9839,1.14041,1,0,185828,334
run_0082,det11,0.00297351,0.000211513,552.562,39.305,14.9475,1.21161,1,0,185828,334
run_0082,det12,0.00344431,0.000161057,640.05,29.9289,11.1059,0.919024,1,0,185828,334
run_0083,det0,0.00550865,0.000192075,1102.9,38.4557,10.2086,1.07245,1,0,200212,383
run_0083,det1,0.00540238,0.000193197,1081.62,38.6804,11.8662,0.941805,1,0,200212,383
run_0083,det2,0.00281793,0.000156574,564.183,31.348,13.0105,0.791609,1,0,200212,383
run_0083,det3,0.00505927,0.000188108,1012.93,37.6615,12.0726,1.03544,1,0,200212,383
run_0083,det4,0.00495304,0.000190589,991.659,38.1581,12.8406,1.10772,1,0,200212,383
run_0083,det5,0.00494733,0.000199326,990.515,39.9075,13.9848,0.803546,1,0,200212,383
run_0083,det6,0.00515149,0.000193978,1031.39,38.8366,12.5362,1.07615,1,0,200212,383
run_0083,det7,0.00556276,0.000200436,1113.73,40.1297,13.3802,1.05736,1,0,200212,383
run_0083,det8,0.00579414,0.000197992,1160.06,39.6403,11.7245,1.00561,1,0,200212,383
run_0083,det9,0.00524012,0.000189809,1049.13,38.002,10.285,1.00013,1,0,200212,383
run_0083,det10,0.00256573,0.000162026,513.69,32.4396,13.1478,1.01429,1,0,200212,383
run_0083,det11,0.00526822,0.000243644,1054.76,48.7805,14.5547,1.18878,1,0,200212,383
run_0083,det12,0.0053732,0.000186804,1075.78,37.4004,11.5419,1.26001,1,0,200212,383
run_0084,det0,0.00725223,0.000204896,1593.52,45.0213,10.7106,0.908071,1,0,219728,384
run_0084,det1,0.00653049,0.000197665,1434.93,43.4325,11.478,1.03249,1,0,219728,384
run_0084,det2,0.00384202,0.000155723,844.199,34.2167,10.8584,1.1197,1,0,219728,384
run_0084,det3,0.00652721,0.000204132,1434.21,44.8536,12.2587,0.840701,1,0,219728,384
run_0084,det4,0.00634942,0.000203251,1395.15,44.6599,13.2811,1.37152,1,0,219728,384
