,Yield,Yield_err
2.1645700000000003,7.46695404e-14,3.36663504e-15
2.16899,5.800777919999999e-14,2.82762612e-15
2.1895599999999997,6.823270440000001e-14,3.4104177e-15
2.19472,1.11458349e-13,4.1328395999999996e-15
2.1974099999999996,1.560770928e-13,4.44574224e-15
2.1980500000000003,1.5241123619999998e-13,5.3296938e-15
2.19844,1.71452448e-13,4.95412092e-15
2.19899,2.302074e-13,9.18932832e-15
2.1991300000000003,1.36592127e-13,5.9504367599999995e-15
2.19938,1.9779573599999999e-13,7.941081960000001e-15
2.1995,1.5027769259999998e-13,5.43784482e-15
2.1995500000000003,1.377665532e-13,5.19685596e-15
2.19979,1.83058938e-13,3.85263378e-15
2.2018299999999997,1.85734278e-13,5.1864589800000005e-15
2.20396,1.7771787e-13,6.0191145e-15
2.20493,1.5593868e-13,4.900197600000001e-15
2.2054,1.81782144e-13,3.93486444e-15
2.2097399999999996,1.426994316e-13,4.4321733e-15
2.2099499999999996,1.458409536e-13,4.9201425e-15
2.2137,1.383979014e-13,5.21069724e-15
2.2138400000000003,1.360230966e-13,4.2055383599999996e-15
2.21992,1.3704869699999998e-13,4.33522026e-15
2.22465,1.555968132e-13,4.2275979e-15
2.2294,1.6828689599999996e-13,4.69270656e-15
2.24456,1.588793112e-13,5.63376942e-15
2.24952,1.36419912e-13,5.34704346e-15
2.25445,1.2828319379999998e-13,5.22577206e-15
2.25965,1.044302148e-13,4.2784293600000005e-15
2.26419,9.533774340000001e-14,4.07672154e-15
2.2690900000000003,8.03718594e-14,3.77729172e-15
2.27466,7.74121644e-14,4.0209559200000005e-15
2.28997,8.50815792e-14,3.81490668e-15
2.29173,9.19445472e-14,4.083129540000001e-15
2.29393,1.026909234e-13,4.16691414e-15
2.29569,1.2046190940000001e-13,4.36101246e-15
2.29775,1.371770172e-13,4.8574081800000005e-15
2.29981,1.8688131e-13,5.50649052e-15
2.30201,2.6450461800000005e-13,6.07188438e-15
2.30346,3.40692534e-13,6.59865402e-15
2.3059000000000003,4.1925461400000005e-13,7.24281822e-15
2.30771,4.42461186e-13,8.1496143e-15
2.30981,3.71425302e-13,7.96056228e-15
2.31386,2.0616939000000002e-13,6.2847741600000006e-15
2.31799,1.202334642e-13,5.073838380000001e-15
2.31965,1.0308998160000001e-13,4.895071200000001e-15
2.3209,1.237959918e-13,4.628178e-15
2.32185,8.636045580000001e-14,4.7375946000000005e-15
2.32288,1.0520814599999999e-13,3.6430281e-15
2.32406,9.97171308e-14,4.006025280000001e-15
2.32406,8.82690786e-14,4.60172898e-15
2.32446,1.005339906e-13,4.3625664e-15
2.32507,1.005818904e-13,4.23499914e-15
2.32548,9.48845376e-14,3.3443031599999998e-15
2.32655,9.611471340000001e-14,4.2369535800000005e-15
2.32702,1.0052277660000001e-13,5.522142060000001e-15
2.32755,9.0170172e-14,4.703407920000001e-15
2.3280100000000004,8.95447512e-14,4.48260426e-15
2.32856,8.72396334e-14,3.73400568e-15
2.32902,8.43818256e-14,2.67152724e-15
2.32991,8.58942738e-14,2.5738533e-15
2.33397,7.70749434e-14,2.24086158e-15
2.3417800000000004,8.98170912e-14,1.89202608e-15
2.3435,9.32397642e-14,4.016214000000001e-15
2.34522,9.819843479999999e-14,4.1084091e-15
2.3467,1.204249032e-13,4.7548801800000004e-15
2.34808,1.3304001240000002e-13,4.910963040000001e-15
2.34946,1.580944914e-13,4.7805282e-15
2.35052,2.0208108599999998e-13,5.45990436e-15
2.3512399999999998,2.23525458e-13,5.4877310999999995e-15
2.35194,1.45652238e-13,6.78818664e-15
2.35203,2.7818089199999995e-13,6.23772342e-15
2.35277,2.7754329599999996e-13,6.14870028e-15
2.3535999999999997,3.5941510800000004e-13,6.03093726e-15
2.3539,2.5275875400000004e-13,7.906671000000001e-15
2.3540900000000002,3.8713291199999997e-13,6.29863146e-15
