,Yield,Yield_err
2.11837,7.993771740000001e-14,4.09376682e-15
2.11952,6.285815460000001e-14,4.57159536e-15
2.1204699999999996,5.16271734e-14,4.7479755599999995e-15
2.12154,5.25733146e-14,3.84098724e-15
2.12251,5.27687586e-14,3.753950580000001e-15
2.1229899999999997,7.41487302e-14,4.39760214e-15
2.12351,1.048731678e-13,5.77580274e-15
2.1238200000000003,8.8291827e-14,5.43055572e-15
2.12499,5.54010048e-14,4.97542752e-15
2.12602,2.9254442400000003e-14,4.161947940000001e-15
2.12689,4.6253584800000003e-14,5.119735680000001e-15
2.1308499999999997,4.78022382e-14,7.9191666e-15
2.13592,2.10408282e-14,6.23171592e-15
2.13776,1.098920736e-14,3.30617556e-15
2.14181,2.92365e-14,2.87185734e-14
2.14587,8.752639139999999e-15,6.35804964e-15
2.14972,2.2031505e-14,1.088760852e-14
2.15989,2.82938832e-14,2.20532922e-15
2.1645700000000003,1.71896202e-13,4.2952824e-15
2.16899,1.37983464e-13,3.70549008e-15
2.17348,4.0740782399999997e-14,4.67128782e-15
2.1740500000000003,3.9795762600000004e-14,3.0227817600000003e-15
2.1745,6.983951040000001e-14,6.72516396e-15
2.17487,8.8842114e-14,3.6121896e-15
2.17503,8.66021976e-14,6.3848510999999994e-15
2.17542,5.31969732e-14,5.64612084e-15
2.1760300000000004,4.4630758800000004e-14,3.06033264e-15
2.17644,4.8339549000000004e-14,3.696615e-15
2.1768899999999998,4.38525072e-14,3.974738220000001e-15
2.1780399999999998,3.93991074e-14,3.8873010600000005e-15
2.1791,7.028678880000001e-14,3.0169344600000003e-15
2.18499,1.0826203859999999e-13,4.2569946e-15
2.1895599999999997,1.67739012e-13,4.58840034e-15
2.19472,2.5222368599999996e-13,5.67402768e-15
2.1974099999999996,2.2921416e-13,4.95440928e-15
2.1980500000000003,2.36306214e-13,6.05149092e-15
2.1981100000000002,2.48667246e-13,8.480731680000001e-15
2.19844,2.51847216e-13,5.7134368800000006e-15
2.19852,2.6599608000000003e-13,8.78940504e-15
2.19899,3.1198469400000003e-13,1.040949162e-14
2.1991300000000003,2.74731786e-13,7.65382734e-15
2.19938,2.75029758e-13,8.83868256e-15
2.1995,3.6006071400000004e-13,7.34422482e-15
2.1995500000000003,2.79611478e-13,6.96222792e-15
