,Yield,Yield_err
2.11837,1.133043336e-13,4.1928184800000004e-15
2.11952,8.10056106e-14,5.22013302e-15
2.1204699999999996,7.997007779999999e-14,4.750298459999999e-15
2.12154,7.0549677e-14,4.06063746e-15
2.12251,7.12838736e-14,3.71180196e-15
2.1229899999999997,1.048191804e-13,4.48627284e-15
2.12351,1.361717622e-13,5.99314608e-15
2.1238200000000003,1.286249004e-13,6.14017764e-15
2.12499,6.7863123e-14,5.27708412e-15
2.12602,5.87857104e-14,4.43584188e-15
2.12689,4.45413672e-14,4.71622392e-15
2.1308499999999997,3.52154844e-14,4.24403442e-15
2.13592,4.17708684e-14,1.26983331e-14
2.13776,1.210995054e-14,2.64797784e-15
2.14181,2.8971369e-14,5.1847128e-15
2.14587,2.883920399999999e-14,1.1436341579999999e-14
2.14972,2.52500832e-14,5.80407804e-15
2.15989,2.3972327999999998e-14,2.12752008e-15
2.1645700000000003,1.95568956e-13,4.4240992199999996e-15
2.16899,1.452392424e-13,3.72883122e-15
2.17348,5.80654512e-14,4.40787096e-15
2.1740500000000003,5.4581421599999996e-14,3.22070886e-15
2.1745,9.83677662e-14,5.9001980399999995e-15
2.17487,9.57041208e-14,3.85675092e-15
2.17503,1.61156394e-13,7.9456797e-15
2.17542,9.04031028e-14,7.67801754e-15
2.1760300000000004,7.7171544e-14,3.44184894e-15
2.17644,7.078180679999999e-14,3.94218558e-15
2.1768899999999998,6.99812874e-14,4.34672262e-15
2.1780399999999998,5.9692122e-14,3.92307372e-15
2.1791,7.03857924e-14,2.89018422e-15
2.18499,1.0730708639999999e-13,3.94530948e-15
2.1895599999999997,1.81333584e-13,4.667427e-15
2.19472,2.7351907199999994e-13,5.73415074e-15
2.1974099999999996,3.28719186e-13,5.61627558e-15
2.1980500000000003,3.6424353600000004e-13,7.04865582e-15
2.1981100000000002,3.3881018400000007e-13,9.38977056e-15
2.19844,3.6833184e-13,6.3679019400000004e-15
2.19852,3.04637922e-13,9.3678552e-15
2.19899,4.893677460000001e-13,1.22508945e-14
2.1991300000000003,3.3440148e-13,8.309525939999998e-15
2.19938,4.225275e-13,1.010874816e-14
2.1995,3.6428999400000004e-13,7.14961386e-15
2.1995500000000003,3.48358104e-13,7.568536860000001e-15
2.19979,3.9633480000000003e-13,4.98417444e-15
2.2,3.3893353800000006e-13,1.065953178e-14
2.2018299999999997,4.0267391400000003e-13,6.4481301e-15
2.20396,4.0375686600000003e-13,7.853981219999999e-15
2.20493,3.8025873e-13,6.6328246799999995e-15
2.2054,3.91033782e-13,5.0217733800000005e-15
2.2097399999999996,3.51856872e-13,5.93560224e-15
2.2099499999999996,3.54455316e-13,6.82466418e-15
2.2137,3.36769236e-13,7.018810559999999e-15
2.2138400000000003,3.41317314e-13,5.8113350999999996e-15
2.21992,3.58947324e-13,6.15890502e-15
2.22465,3.8182708799999997e-13,5.91564132e-15
2.2294,3.9830526e-13,6.50966292e-15
2.24456,3.60027072e-13,7.46036982e-15
2.24952,3.36008286e-13,7.31916954e-15
2.25445,3.0680863200000003e-13,7.08008706e-15
2.25965,2.59474338e-13,5.6215782000000005e-15
2.26419,2.50358958e-13,5.5360314e-15
2.2690900000000003,2.2304646e-13,5.32828404e-15
2.27466,2.15906346e-13,5.40993798e-15
2.27942,2.0980112400000005e-13,6.1338177e-15
2.2850300000000003,2.03673474e-13,5.756130180000001e-15
2.28997,2.17043766e-13,5.1045327e-15
2.29173,2.32116984e-13,5.495452739999999e-15
2.29393,2.61621018e-13,5.72264838e-15
