,a0,a0_err,Chi2,Pval,Chi2NDF
2.1184,0.00016695904013082986,3.985034023130768e-06,38.938110059218886,7.360337613489349e-07,6.489685009869814
2.1195,0.00013457286597283024,4.9778178544718784e-06,19.29288522862307,0.003696553496749637,3.2154808714371783
2.1205,0.0001237171761153662,4.5072454679024955e-06,24.66335202643258,0.0003940917346173467,4.110558671072097
2.1215,0.00010903872773471492,3.890584792832275e-06,17.228381285649583,0.008479558941893875,2.8713968809415973
2.1225,0.00011081723214596228,3.5490814210952902e-06,22.517038722749426,0.000975469515257581,3.752839787124904
2.123,0.0001436315134038198,4.367848275677204e-06,21.77997219287786,0.0013271897442763228,3.6299953654796435
2.1235,0.0002062697876059653,5.76388625243431e-06,20.767633740493267,0.0020195278047721544,3.4612722900822113
2.1238,0.0001822777733014594,5.574855997738995e-06,17.970232779388905,0.006307017006193288,2.9950387965648173
2.125,9.479471400888517e-05,4.659818324665517e-06,10.786453594246588,0.09520484762412548,1.7977422657077646
2.126,8.866725205216282e-05,4.1945367796355355e-06,10.726359723363744,0.09721082444385754,1.7877266205606241
2.1269,8.207554744465424e-05,4.710030737898324e-06,5.612011131024919,0.4680233338063581,0.9353351885041531
2.1308,7.021331516643048e-05,4.754177385969769e-06,1.1165579479075798,0.9526276065582847,0.22331158958151595
2.1359,3.88076056897087e-05,4.96707552503256e-06,4.815724653659469,0.5676559271895683,0.8026207756099115
2.1378,3.0067930739702075e-05,4.176640249545075e-06,3.3379944032473894,0.6480299690331863,0.6675988806494779
2.1418,6.425163679364396e-05,1.6438928178364982e-05,0.21351794231780857,0.8987422696939388,0.10675897115890429
2.1459,5.067733795080285e-05,1.0372220866926278e-05,0.7592596448389181,0.9438249127149413,0.18981491120972951
2.1497,5.776172844794287e-05,9.82113801521495e-06,4.073516524357725,0.25363431819930493,1.357838841452575
2.1599,3.833617912631458e-05,2.0233403862381534e-06,28.589411166299044,7.274331114642434e-05,4.76490186104984
2.1646,0.0002833756477407788,4.033892385111693e-06,23.75538468337626,0.0005792163656527932,3.95923078056271
2.169,0.0002183164956180351,3.4159902142952323e-06,16.05807427319811,0.013445630774908863,2.676345712199685
2.1735,8.195400770594461e-05,4.354222569080285e-06,3.2403430811464995,0.778132717525944,0.5400571801910833
2.1741,8.354505990517633e-05,3.119535432892989e-06,4.583495802535271,0.5982283245016102,0.7639159670892118
2.1745,0.0001345386589791684,5.881340496331964e-06,3.7500734282156,0.7104549103286399,0.6250122380359333
2.1749,0.00013964325017775596,3.4668337727223447e-06,10.126200884658552,0.11943704728047458,1.687700147443092
2.175,0.00022424198377791267,7.2499929368875955e-06,8.612640913960355,0.19656318356690347,1.435440152326726
2.1754,0.0001182843166975933,6.799990544948344e-06,7.683240895171615,0.2622403650636497,1.280540149195269
2.176,9.85303325096896e-05,3.0538181070322364e-06,11.190469230466556,0.08266513613667921,1.8650782050777595
2.1764,9.274546962596589e-05,3.457302389784046e-06,5.342594996503154,0.5006815311729929,0.8904324994171923
2.1769,8.528162355903488e-05,3.6431844398281527e-06,30.604265716406225,3.016185831762103e-05,5.100710952734371
2.178,8.732929280784964e-05,3.7767834909876138e-06,2.6338251879243524,0.8532001299057876,0.4389708646540587
2.1791,0.0001044509733407118,2.7457016414945035e-06,8.395756467614154,0.2105187698935792,1.399292744602359
2.185,0.0001661998567828439,3.830710685746167e-06,7.56290654396652,0.2719054623530645,1.26048442399442
2.1896,0.0002582047662899,4.294588362242284e-06,21.859545871867223,0.0012839117119534261,3.6432576453112038
2.1947,0.00040551699532865774,5.222220385088264e-06,14.941762527054513,0.02071453994883078,2.4902937545090853
2.1974,0.0004581398259109068,5.0555176954714e-06,40.048894389112235,4.45547131294248e-07,6.674815731518706
2.198,0.00048131873018502367,6.195505615298868e-06,38.17754605242347,1.0370575724427804e-06,6.3629243420705786
2.1981,0.00045751543721279274,8.296289873142996e-06,17.262993500150763,0.008363782542634503,2.8771655833584604
2.1984,0.0005078681454356338,5.686121516590875e-06,38.849299515106964,7.661271449186862e-07,6.474883252517827
2.1985,0.0004665047834309393,8.58336998773361e-06,25.488833067040506,0.00027713140484348075,4.248138844506751
2.199,0.0006835243405963877,1.0922601332975227e-05,11.289694110976013,0.07982523990107407,1.8816156851626689
2.1991,0.00047799030404681563,7.290627791742971e-06,23.444517946792953,0.0006604820857333432,3.9074196577988256
2.1994,0.0005866747850117618,9.049129453223844e-06,17.19036169851469,0.008608518510318438,2.8650602830857816
2.1995,0.0005277700230858581,4.705242522386816e-06,43.60340198135471,8.85891576762582e-08,7.267233663559118
2.1998,0.0005485819850124411,4.4314328418491756e-06,82.48612630490058,1.0941815081038333e-15,13.74768771748343
2.2,0.0004898820773655042,9.79509737569939e-06,14.943609819772991,0.020699867249457153,2.4906016366288317
