,a0,a1,a2,a3,a0_err,a1_err,a2_err,a3_err,Chi2,Pval,Chi2NDF
2.1184,0.0001068211335274738,-0.00013406188702591582,0.0001349863604671736,-4.670191073849472e-05,8.491842870907187e-05,0.00018678434348591157,0.0001583793235543121,5.974381420779998e-05,476.9532948102446,4.709704623833294e-103,158.98443160341486
2.1195,0.00023770249286197975,-0.00042244015394170276,0.00036400220413067286,-0.0001391215670223031,9.77162052473038e-05,0.00021366179659566248,0.00018413535440339805,7.234618929673751e-05,4121.980494537662,0.0,1373.9934981792205
2.1205,6.873635306740844e-05,-4.6018255078120185e-05,5.448378424052769e-05,-2.2312709155217214e-05,9.893402732338059e-05,0.00021348901496809857,0.0001756316344983571,6.426247847884388e-05,56.260516771808255,3.696147238019355e-12,18.753505590602753
2.1215,-9.514857248933695e-06,0.00014440563768493286,-9.92684948411815e-05,3.915811388498919e-05,8.39709236948057e-05,0.00018336370456495995,0.00015463461745269955,5.901401764669196e-05,421.80984631585227,4.175226551223219e-91,140.60328210528408
2.1225,6.849999005623109e-05,9.477559342704889e-05,-4.886484791863377e-05,1.5324599943952744e-05,9.324887592480107e-05,0.00020349730361283113,0.00017056256941323713,6.428421169904676e-05,127.76852203799314,1.6365527009217127e-27,42.58950734599771
2.123,0.00035913511264670794,-0.0003050505318472063,0.00034310795151376583,-0.00014467028450473873,0.00012099055692767816,0.0002630997216804168,0.00022110972955813527,8.45075539591307e-05,1578.8606637693326,0.0,526.2868879231108
2.1235,0.0004032103096980877,0.00014539711720473747,-2.71298849635615e-05,1.2492877838166105e-05,0.00018912081190045006,0.0004129800837502854,0.0003493141901014924,0.0001339034830907967,66.10956737452959,2.9039452579232914e-14,22.03652245817653
2.1238,0.0004012470953257963,-4.885502729912172e-05,0.00014107969889720628,-6.669398658429304e-05,0.000173516326899256,0.0003783250694328884,0.0003195938422746616,0.00012247950425180821,103.94064519671764,2.208147296144558e-22,34.646881732239216
2.125,-1.247406859367084e-05,0.0002860590099499072,-0.0001768572778984845,4.6453460955581116e-05,0.00012388387841994795,0.0002701859771816649,0.00022802157003253514,8.698589419429067e-05,780.9020705388,5.998785844967585e-169,260.3006901796
2.126,7.68717013735487e-05,5.704403385131673e-05,-5.919326864556318e-06,-9.06646463136318e-06,0.0001090798473602171,0.0002360794138224895,0.0001968463471456806,7.45101163992461e-05,38.894458456062104,1.827358192660841e-08,12.964819485354035
2.1269,0.00013587762583341934,-7.587735405015228e-05,0.00010682661506733471,-5.429713198287778e-05,0.00012244440963956926,0.00026665150507744457,0.0002241415688609748,8.550601200684629e-05,148.0764083373238,6.850199778231057e-32,49.35880277910794
2.1308,-4.715599010142457e-06,0.00016148149483168062,-0.00013462168682412678,5.6808182883894e-05,0.00012506482203080988,0.0002776212475906726,0.00024165149287544587,9.706605931302027e-05,435.48612391212987,4.547898810314153e-94,145.1620413040433
2.1378,0.0017536628597811799,-0.0033830530296405925,0.0022253907021738684,-0.0005732319526501328,0.001657761793812175,0.0032744014334577356,0.0022023929285761197,0.0005910801358794411,12617.392860232912,0.0,12617.392860232912
2.1599,-8.11287618251999e-07,3.7119364085236306e-05,-2.6279873905799e-05,1.3396150000344331e-05,0.00010850872620913116,0.00022439813325726197,0.00016835456248610078,5.45939735803017e-05,89.3208067154274,4.0200667306897106e-20,44.6604033577137
2.1646,2.059701391855795e-05,9.205533014122746e-05,-6.540495792882461e-05,4.541633006262258e-06,6.542732597017354e-05,0.0001418337372908996,0.00011818452508394161,4.406598653448339e-05,329.3116690664753,4.49713691873589e-71,109.77055635549176
2.169,1.2690065506242021e-05,8.724185010607066e-05,-5.8387315773150705e-05,7.726661334916951e-07,5.85760219313891e-05,0.000127083750862441,0.00010626046034314331,3.992104686328175e-05,375.1333338544305,5.3829155619022345e-81,125.04444461814349
2.1735,1.028994794574704e-05,2.8423831358064552e-05,2.8620745375370076e-05,-2.6184524679182105e-05,4.12827141341487e-05,3.281645929515871e-05,6.493335545475094e-05,6.619999304816623e-05,15.623548553920665,,-15.623548553920665
2.1741,4.14105175891577e-05,-3.247926831033421e-05,2.9280540659343268e-05,-9.292023536370056e-06,5.251228575971014e-05,0.00011356377847573393,9.427854221114223e-05,3.581668639523487e-05,81.2014503280984,1.6955240220504683e-17,27.067150109366136
2.1745,0.00029767236340833003,0.00021737137892852143,-7.052520868355838e-05,3.3725287433283846e-06,0.00021662249054670406,0.00047367493151234484,0.00040176681021927596,0.00015400338002835213,125.56329966948186,4.887262898812524e-27,41.85443322316062
2.1749,0.0001335406572981479,0.000661139341526007,-0.000502177005273885,0.00018894637619348842,0.0001232795522113485,0.0002689284981293525,0.00022710913890096953,8.689230260234312e-05,4595.813325026773,0.0,1531.9377750089243
2.175,0.0013539676753760999,-0.0006510669048918061,0.0007613371127415114,-0.0002867714735206306,0.00028895496141179453,0.0006295052515769789,0.0005318331497423397,0.00020472574809050922,1364.2951922426403,1.6473101574747394e-295,454.7650640808801
2.1754,0.0005143711028191,-0.0003621243934918139,0.00039215613352205914,-0.00016058006171779104,0.00023986926769495258,0.0005204673596451967,0.0004368375130595467,0.00016639071220972523,542.1516397273876,3.4919382699187686e-117,180.71721324246255
2.176,0.00014527852332613111,5.2174581817221455e-05,-6.044842648211812e-06,-5.0780975716091525e-08,8.749943063451814e-05,0.00019018198216356544,0.00015978922162218477,6.088406953887408e-05,42.776580996380176,2.7450165963320014e-09,14.258860332126725
2.1764,3.86802373165962e-06,0.00014099907509540488,-0.00010716030272363286,4.462837599317898e-05,8.316172818720663e-05,0.000178593849362287,0.00014703215872907783,5.507479477751947e-05,541.2324938806528,5.5244549783452934e-117,180.41083129355093
2.1769,0.00013822802453755667,-0.00012274174716414565,0.0001235054062381502,-5.081585228760427e-05,9.343320694220296e-05,0.0002015547303361355,0.00016682247694432375,6.238670031777839e-05,375.988030556102,3.514909174266015e-81,125.32934351870067
2.178,-0.0001090939375089639,0.0002858994356922384,-0.00021511271837793,7.791778458041132e-05,0.0002704466721179903,0.00056200454898935,0.0004231109402655323,0.00013659877149060584,1375.43631960438,2.1271498881892134e-299,687.71815980219
2.1791,6.421171679905566e-05,-0.00010827014386059416,8.348815205218643e-05,-2.9332790964509137e-05,3.6735521535644105e-05,8.081771790185334e-05,6.779525742475339e-05,2.4687002917519354e-05,1162.6913270637667,9.116572123665565e-252,387.56377568792226
2.1947,1.721166507043237e-05,6.19280544538886e-05,-2.870530863066656e-05,2.0115054412680328e-05,6.694306009870126e-05,0.000144242678331643,0.00011902746193993217,4.477895196815749e-05,112.50486624111343,3.171132942912893e-24,37.50162208037114
2.1974,7.466390583783789e-05,6.891546585183206e-05,-1.4332666301103414e-05,1.1309985204155382e-05,8.358525584054422e-05,0.0001830028655802664,0.00015567913558712726,5.984302616376381e-05,69.97333128014611,4.324831550309699e-15,23.324443760048705
2.198,2.6426682652562483e-05,5.075135454742086e-05,-7.759661652936845e-06,2.3493174848669696e-06,6.971753863115943e-05,0.0001530678123918438,0.0001326851444043921,5.293193815301845e-05,58.67599079489608,1.1273578271130578e-12,19.558663598298693
2.1981,8.71882000813562e-06,0.0002975348394774757,-0.0001488888321445614,3.313331352450266e-05,0.00014746702646043468,0.0003226480886375305,0.00027595891375748735,0.00010808236113892578,563.6279135148235,7.726066801825441e-122,187.87597117160783
