,Yield,Yield_err
2.11837,2.09355768e-14,1.97709228e-15
2.12154,2.9823633e-14,2.46986748e-15
2.12251,4.920543e-14,2.7811841400000004e-15
2.1229899999999997,1.070679078e-13,4.246389359999999e-15
2.12351,2.24614818e-13,6.2491617e-15
2.1238200000000003,1.9102728600000002e-13,5.84983116e-15
2.12499,5.92791264e-14,4.1372451e-15
2.12602,5.74985034e-14,3.6990981e-15
2.12689,8.14540104e-14,6.0592446e-15
2.1645700000000003,3.1706463600000004e-14,1.95802848e-15
2.16899,2.60376264e-14,1.80029556e-15
2.1745,2.0865409200000002e-13,7.1691102e-15
2.17487,1.8775119600000002e-13,3.83792742e-15
2.17503,5.12324406e-13,9.418862879999999e-15
2.17542,1.76006934e-13,7.863881580000001e-15
2.1760300000000004,7.87365378e-14,2.67146316e-15
2.17644,3.0983481e-14,2.2459239e-15
2.1768899999999998,4.15808712e-14,2.9113466399999997e-15
2.1974099999999996,5.15060622e-14,2.66681736e-15
2.1981100000000002,7.35279552e-14,5.23187568e-15
2.19844,3.55418118e-14,2.5351009200000003e-15
2.19899,1.67719788e-13,7.85729736e-15
2.19938,7.75204596e-14,4.97747808e-15
2.19979,3.48933222e-14,2.04637878e-15
2.32406,1.69800786e-14,2.19168018e-15
2.32507,2.57535918e-14,2.52745938e-15
2.32548,4.33576494e-14,2.402199e-15
2.32581,5.41862082e-14,3.78195354e-15
2.3259600000000002,5.4962217e-14,3.899268e-15
2.32655,6.898308119999999e-14,3.3022346400000004e-15
2.32702,5.700124260000001e-14,5.3436952800000005e-15
2.32755,3.823173e-14,4.23535158e-15
2.3280100000000004,2.95514532e-14,2.51488368e-15
2.32856,2.15946396e-14,2.39005584e-15
2.32902,1.89407664e-14,2.06451342e-15
2.32991,1.2194440020000002e-14,1.66923594e-15
2.33397,8.44028118e-15,2.34851598e-15
2.3417800000000004,1.0770742620000001e-14,1.4155928820000001e-15
2.35277,2.57646456e-14,3.67485984e-15
2.3540900000000002,2.48034456e-14,3.20749236e-15
2.35466,3.00426264e-14,4.10461236e-15
2.35519,2.63067624e-14,2.64820212e-15
2.35573,3.03279426e-14,2.7396122400000003e-15
2.35643,3.91437486e-14,2.54963106e-15
2.3569400000000003,4.51268982e-14,2.95363944e-15
2.35743,4.85489304e-14,2.78047926e-15
2.3577399999999997,4.47425784e-14,3.0676698e-15
2.35832,4.84037892e-14,2.46938688e-15
2.35881,4.3875415800000003e-14,2.8219069800000003e-15
2.35923,4.19312286e-14,2.89596744e-15
