,Yield,Yield_err
2.11837,2.50277256e-14,2.33680536e-15
2.12154,2.95331904e-14,2.5918758e-15
2.12251,5.0746554e-14,2.84624136e-15
2.1229899999999997,1.042139448e-13,3.98143458e-15
2.12351,2.2622643e-13,6.21098604e-15
2.1238200000000003,1.8086419800000001e-13,5.60656746e-15
2.12499,5.6759981400000006e-14,3.8795634e-15
2.12602,5.05123416e-14,3.38191812e-15
2.12689,5.27303106e-14,4.44901032e-15
2.1645700000000003,2.05251444e-14,1.6156810799999999e-15
2.16899,1.6562277e-14,1.6044831e-15
2.1745,1.8226594799999999e-13,6.8539167e-15
2.17487,1.99916784e-13,3.98125836e-15
2.17503,4.95391266e-13,9.788396219999999e-15
2.17542,1.6421461200000002e-13,7.4095704e-15
2.1760300000000004,7.925686740000001e-14,2.77468002e-15
2.17644,3.39475014e-14,2.55653568e-15
2.1768899999999998,3.6333039600000003e-14,2.6202632400000003e-15
2.19472,2.9709250199999997e-14,2.2367924999999998e-15
2.1974099999999996,5.58212094e-14,2.6248449599999998e-15
2.1980500000000003,2.63734056e-14,2.66425416e-15
2.1981100000000002,8.08462116e-14,5.159817720000001e-15
2.19844,3.64314024e-14,2.94072732e-15
2.19899,1.278232596e-13,7.385268059999999e-15
2.19938,5.08104738e-14,4.811190480000001e-15
2.19979,3.6796177800000005e-14,2.3881815000000002e-15
2.32406,1.71603036e-14,2.04634674e-15
2.32446,2.22144534e-14,2.92699818e-15
2.32507,3.54569058e-14,2.8673076599999997e-15
2.32548,3.95179758e-14,2.27511234e-15
2.32581,5.1159389399999996e-14,3.58748676e-15
2.3259600000000002,5.15055816e-14,4.26683088e-15
2.32655,5.5387387799999995e-14,3.51268938e-15
2.32702,4.74067044e-14,4.09660236e-15
2.32755,3.45820536e-14,3.0040383599999997e-15
2.3280100000000004,2.4810013799999998e-14,2.79835758e-15
2.32856,1.591692732e-14,2.1469042800000003e-15
2.32902,1.8128552400000003e-14,2.15843868e-15
2.32991,1.77447132e-14,1.68751476e-15
2.33397,8.001301139999998e-15,2.09820348e-15
2.3417800000000004,1.1252063520000002e-14,1.177000614e-15
2.3540900000000002,2.32211502e-14,2.4288402599999998e-15
2.35519,1.72852596e-14,2.7468212400000005e-15
2.35573,2.24670888e-14,2.30164146e-15
2.35643,3.07090584e-14,2.3529214799999997e-15
2.3569400000000003,2.76700644e-14,2.34310122e-15
2.35743,3.11771628e-14,2.55485358e-15
2.3577399999999997,3.7452357e-14,2.8525372199999993e-15
2.35832,3.90585222e-14,2.4471030599999997e-15
2.35881,3.71108106e-14,2.5692395400000004e-15
2.35923,3.12591852e-14,2.8877652e-15
2.35994,3.89736162e-14,2.8928755799999998e-15
2.36047,4.09922964e-14,2.1210480000000004e-15
2.36102,3.89034486e-14,2.11579344e-15
2.36149,3.86700372e-14,1.96799292e-15
2.362,3.69895392e-14,1.79529732e-15
2.36253,4.22729352e-14,2.0050952400000002e-15
2.36287,4.62652794e-14,2.30902668e-15
2.36336,4.51977066e-14,2.0557024200000002e-15
2.36381,4.51847304e-14,3.36001878e-15
2.364,5.05900386e-14,2.24915994e-15
