,Yield,Yield_err
2.12251,0.00159628,0.000122797
2.1229899999999997,0.00297515,0.0001787
2.12351,0.007273899999999999,0.000279991
2.1238200000000003,0.00503013,0.000254618
2.1745,0.00610249,0.00032524
2.17487,0.00568242,0.000169481
2.17503,0.0176389,0.000454862
2.17542,0.00584276,0.000384016
2.1760300000000004,0.00289333,0.000144383
2.1768899999999998,0.00116898,0.000130175
2.1974099999999996,0.00127854,0.000113531
2.19899,0.00470099,0.000356138
2.19979,0.0009129419999999999,0.000108597
2.32507,0.00103539,0.000124591
2.32548,0.00117755,0.000102257
2.3259600000000002,0.00180393,0.000172806
2.32655,0.00190678,0.000158793
2.32702,0.00151319,0.000176478
2.32856,0.000929811,0.000133898
2.32902,0.000701296,0.000123286
2.33397,0.000510409,0.00013988
2.3417800000000004,0.000283288,6.00125e-05
2.35466,0.0011972,0.000128623
2.35519,0.00117232,0.00011864
2.35573,0.00101708,0.0001053
2.35643,0.00150776,0.000152754
2.3569400000000003,0.00158507,0.000141015
2.35743,0.0015961,0.000142265
2.3577399999999997,0.0014089,0.000138508
2.35832,0.00147929,0.000112376
2.35881,0.00156723,0.000160919
2.35923,0.00139593,0.000167036
2.35994,0.00114077,0.000118511
2.36047,0.00134862,0.000104948
2.36102,0.00118597,9.9569e-05
2.36149,0.00116342,9.45759e-05
2.362,0.0013306,9.908909999999999e-05
2.36253,0.00127141,9.21447e-05
2.36287,0.00127091,0.000109712
2.36336,0.00135822,0.00010309
2.364,0.00125892,0.000105422
2.3644499999999997,0.00151742,0.000107075
2.36492,0.0016024,0.000108592
2.3654499999999996,0.00183446,0.000122717
2.366,0.00202419,0.000134589
2.3664899999999998,0.0022278,0.000124427
2.3669000000000002,0.00217582,0.000131971
2.3674299999999997,0.00238015,0.000137695
2.3679200000000002,0.00268455,0.000141241
2.36852,0.00320355,0.000156298
2.36926,0.00258888,0.000142654
2.36956,0.00254771,0.000136946
2.36988,0.00268043,0.000146795
2.3706,0.00257412,0.000164926
2.3709499999999997,0.00248673,0.000137708
2.37152,0.0022688,0.000138959
2.37199,0.0021541,0.000130419
2.37229,0.00175646,0.000152733
2.3724600000000002,0.00200449,0.000128055
2.3729699999999996,0.00180642,0.000159112
2.37412,0.0011382,0.000103175
2.37502,0.00108781,9.86154e-05
2.3759200000000003,0.00076742,8.45894e-05
2.37792,0.0007380830000000001,0.0001036
2.38596,0.000971643,9.91026e-05
2.40009,0.000478507,7.28013e-05
2.40175,0.00051002,7.37806e-05
2.42377,0.000445047,5.22259e-05
2.42649,0.000558507,5.83037e-05
2.42862,0.000799529,8.735780000000001e-05
2.42994,0.00112949,9.02086e-05
2.43091,0.0014534,0.000156651
2.43188,0.00164143,7.456e-05
2.43266,0.00208966,0.000166455
2.43383,0.00316849,0.000130194
2.43491,0.00426465,0.000192035
2.43521,0.00502675,0.00017715
2.43599,0.00603772,0.000240289
2.43698,0.00781358,0.000222243
2.43752,0.00871269,0.000231786
2.43795,0.0077324,0.000219612
2.43804,0.00964628,0.000240542
2.43877,0.00792748,0.000210778
2.43888,0.0102085,0.00024519
2.4392300000000002,0.0102691,0.000233682
2.43964,0.00943215,0.000225855
2.43981,0.00678706,0.000148247
2.4400500000000003,0.00914213,0.000230428
2.44087,0.00522897,0.000157672
2.44094,0.0076211,0.000215351
2.44185,0.00430069,0.000161542
2.44198,0.00548214,0.000187249
2.44289,0.00430652,0.000163963
2.4437699999999998,0.00251508,0.00011985
2.4439699999999998,0.00320333,0.00014618
2.44579,0.00231005,0.00014073
2.44771,0.00109391,0.00011049
2.4478899999999997,0.00148242,0.000113488
2.4498800000000003,0.000973783,0.000112701
2.45177,0.000673459,7.98018e-05
2.46584,0.0008920110000000001,0.000103593
2.4659,0.0007373130000000001,7.57243e-05
2.46629,0.0012718,0.000157344
2.46692,0.00145309,0.000160142
2.4674,0.00733133,0.000250144
2.46781,0.00337265,0.000143311
2.4679699999999998,0.00517776,0.000235323
2.46845,0.00330115,0.000196208
2.46888,0.00268648,0.000191639
2.46936,0.00370585,0.000207097
2.46979,0.00407967,0.00018181
2.4698200000000003,0.00451824,0.00021611
2.47056,0.00594395,0.000234227
2.47097,0.00676494,0.000260564
2.47127,0.00760222,0.000273166
2.47177,0.00785748,0.000263982
2.47188,0.00522405,0.000194222
2.4724299999999997,0.00578777,0.000198696
2.4737600000000004,0.00341795,0.000209746
2.47378,0.00222716,9.14448e-05
2.4748,0.00214563,0.000190083
2.4758899999999997,0.00141158,0.000135004
2.47678,0.00127077,0.000159221
2.47777,0.000933018,7.15455e-05
2.47986,0.0010115,8.34683e-05
2.48095,0.00102047,6.94223e-05
2.48149,0.0014161,0.000294343
2.48195,0.00151267,0.000163263
2.48197,0.00195956,8.48346e-05
2.48243,0.00315521,0.000117085
2.4825,0.00238002,0.000187886
2.48289,0.00657342,0.000212468
2.483,0.00460872,0.000230672
2.48344,0.0100406,0.000326027
2.48348,0.0289427,0.000553014
2.48392,0.0537815,0.00067436
2.48392,0.0312425,0.000580266
2.48448,0.0276015,0.000578543
2.4845,0.0645068,0.000779818
2.48496,0.0133566,0.000319635
2.48496,0.0320495,0.000522297
2.48551,0.00717106,0.000160252
2.4857,0.0109624,0.000338119
2.48597,0.00449423,0.000135401
2.48643,0.003038,9.77736e-05
2.4868,0.00476594,0.000223409
2.4868200000000003,0.00250442,7.9263e-05
2.4874699999999996,0.00166134,7.15125e-05
2.48791,0.00146361,7.32574e-05
2.48802,0.00213886,0.000170493
2.489,0.000927089,6.85058e-05
2.48983,0.00118307,0.000151547
2.48992,0.000770348,5.26814e-05
2.4909499999999998,0.000411844,5.26412e-05
2.4918400000000003,0.000421421,5.50429e-05
2.49276,0.000435614,6.05132e-05
2.4948200000000003,0.000590412,8.15381e-05
2.49687,0.000271418,5.37162e-05
2.49932,0.000308066,4.53942e-05
2.51302,0.00956378,0.000338896
2.5528899999999997,0.00103363,0.000106792
2.55497,0.00142155,0.000160958
2.55898,0.00201889,0.000179223
2.5609499999999996,0.00294128,0.000176027
2.5629899999999997,0.00405864,0.000263961
2.56494,0.00665673,0.000248604
2.56691,0.0107894,0.000281768
2.56898,0.0129521,0.00028952
2.5709299999999997,0.0110128,0.000305236
2.5729699999999998,0.00826051,0.00024702
2.5749299999999997,0.00631218,0.00021128
2.57677,0.00520861,0.000218773
2.57895,0.00473305,0.00019916
2.58082,0.00435189,0.000204204
2.58298,0.00385375,0.000189031
2.58498,0.00352045,0.00019749
2.58683,0.00333576,0.00017796
2.5889699999999998,0.00323954,0.000171396
2.59077,0.00302958,0.00016936
2.59302,0.0023816,0.000171989
2.59498,0.00293138,0.000182613
2.59681,0.00240786,0.000148957
2.5978000000000003,0.00247691,0.00016646
2.59911,0.0024188,0.000166695
2.59998,0.00441688,0.00020454
2.60208,0.00437663,0.000205059
2.60367,0.00215832,0.000159497
2.60577,0.00151028,0.000146757
2.6080300000000003,0.00123338,0.000137576
2.60988,0.00203203,0.000160611
2.61996,0.00115917,0.000149579
2.63958,0.0011681,0.000131373
2.64487,0.00112184,0.000120474
2.6494,0.00137059,0.000145557
2.6519299999999997,0.00196205,0.000149538
2.65393,0.00178489,0.000149249
2.6557399999999998,0.00175886,0.000168536
2.65757,0.00258613,0.000141436
2.6598200000000003,0.003409300000000001,0.000169689
2.6616500000000003,0.00423536,0.000182421
2.66391,0.0049354,0.000229459
2.66615,0.00592945,0.000225487
2.6680300000000003,0.00590043,0.000223535
2.6701799999999998,0.00562685,0.0001744
2.6715999999999998,0.00498359,0.000166411
2.67382,0.00457631,0.000171195
2.67568,0.00347651,0.00017248
2.67792,0.00261855,0.00016743
2.6847,0.00169447,0.000112953
2.68965,0.0017899,0.000138614
2.69471,0.00178827,0.000119135
2.6979,0.00162574,0.000162908
2.69985,0.00201738,0.000140315
2.70295,0.00199321,0.00016902
2.7039,0.00275437,0.000157691
2.705,0.00288453,0.000210984
2.70591,0.00461071,0.00025724
2.70652,0.00547878,0.000290677
2.707,0.00653979,0.000316555
2.70737,0.00937141,0.000270426
2.70759,0.0096005,0.000359046
2.70791,0.0131372,0.000402044
2.70837,0.0215774,0.000518296
2.7084099999999998,0.0258234,0.000500876
2.70853,0.0306491,0.000634248
2.70871,0.03859509999999999,0.0007094639999999999
2.70889,0.0416192,0.000717758
2.70892,0.0384324,0.000547235
2.70926,0.0435424,0.000805145
2.70953,0.0382713,0.000801107
2.70955,0.038306,0.0009179969999999999
2.70994,0.0288347,0.0004543180000000001
2.71003,0.0275541,0.0007022980000000001
2.7104899999999996,0.020139,0.000497468
2.71099,0.0151383,0.0005144419999999999
2.71142,0.0123564,0.000467651
2.71186,0.0104135,0.000393546
2.71192,0.00919667,0.000479949
2.7123600000000003,0.00827259,0.000469479
2.7130199999999998,0.00730006,0.00033732
2.71348,0.00682144,0.000368631
2.71393,0.00636963,0.000280618
2.71393,0.00743541,0.000385213
2.71452,0.00721795,0.000347859
2.71484,0.00641382,0.000325697
2.7155500000000004,0.00629002,0.000382283
2.71596,0.00645677,0.000307199
2.71605,0.00610858,0.00037102
2.71649,0.00644928,0.000513792
2.7169899999999996,0.00639736,0.000448005
2.71742,0.00667904,0.000428457
2.71786,0.00702567,0.000354804
2.7179,0.00763349,0.000397507
2.7179499999999996,0.00675887,0.000446664
2.71854,0.00677675,0.000453712
2.71898,0.00902622,0.000404276
2.719,0.00675938,0.00048953
2.7195500000000004,0.00590308,0.000462584
2.71973,0.00805708,0.00035091
2.71987,0.00740839,0.000561779
2.7200900000000003,0.00923264,0.000429326
2.72025,0.00909105,0.000421615
2.7210300000000003,0.0111385,0.000455529
2.72197,0.0146334,0.000381374
2.72201,0.0178363,0.000541838
2.723,0.0122464,0.000449473
2.72377,0.00861546,0.000295478
2.72402,0.0110005,0.000428258
2.7250300000000003,0.0103369,0.000294523
2.72597,0.00938096,0.000414048
2.72693,0.00953213,0.000352593
2.72775,0.00795592,0.000328464
2.72805,0.00907327,0.000431107
2.72901,0.009497499999999999,0.000451913
2.73008,0.0095652,0.000401395
2.73104,0.00992809,0.000320307
2.73146,0.00875162,0.000400272
2.73184,0.00899838,0.000356564
2.73191,0.00902194,0.000444473
2.732,0.0114129,0.000457701
2.73253,0.00960486,0.000509137
2.7329,0.0104608,0.0004871880000000001
2.7334699999999996,0.0131549,0.000620808
2.73388,0.0145342,0.000496363
2.73407,0.0179977,0.000567443
2.73423,0.0172641,0.000547765
2.73439,0.0187436,0.000714738
2.73473,0.0277289,0.000632601
2.73484,0.0304765,0.000494077
2.73494,0.0261509,0.0007144769999999999
2.735,0.0231397,0.000774477
2.73532,0.02970159999999999,0.000779726
2.73544,0.04110059999999999,0.000948269
2.73548,0.0341788,0.000810318
2.73581,0.0454497,0.0009912360000000002
2.73587,0.0683597,0.00116005
2.7360100000000003,0.05648930000000001,0.0009082939999999999
2.73622,0.07075930000000001,0.00130529
2.7363600000000003,0.09693510000000001,0.00158035
2.73652,0.092846,0.00168203
2.7367199999999996,0.10643,0.000483118
2.7369499999999998,0.101662,0.00105232
2.7369499999999998,0.114093,0.000541527
2.73739,0.09400789999999999,0.000712026
2.73743,0.0738564,0.000655091
2.73803,0.042781,0.000425059
2.73835,0.0323168,0.000387464
2.7383699999999997,0.0391304,0.0006405019999999999
2.73885,0.0271528,0.000425343
2.73894,0.0209386,0.000326199
2.7391300000000003,0.0177546,0.000311761
2.73931,0.0198814,0.000350864
2.73933,0.0590996,0.000574581
2.73952,0.0142351,0.00024139
2.73981,0.0150797,0.000339129
2.73995,0.0135094,0.000257582
2.7403000000000004,0.0115418,0.000368844
2.74069,0.0093041,0.000253563
2.74078,0.00999331,0.000379581
2.74121,0.00822322,0.000236687
2.7414,0.00869608,0.000256311
2.74167,0.00776851,0.000228699
2.74188,0.007249299999999999,0.000296036
2.74199,0.00752657,0.000197017
2.74234,0.00662371,0.000253742
2.74252,0.00713297,0.000194028
2.74252,0.00683802,0.000180829
2.74282,0.006968300000000001,0.000228837
2.74289,0.00665052,0.000183143
2.74323,0.00601832,0.000156318
2.74378,0.00553626,0.000178716
2.74532,0.00485454,0.000267533
2.74559,0.00478939,0.00024977
2.74594,0.00476134,0.000188859
2.74596,0.00491341,0.000173113
2.7478000000000002,0.00465939,0.000173865
2.74796,0.00448111,0.000265597
2.7498899999999997,0.00448229,0.000180986
2.7498899999999997,0.00458983,0.00022472
2.75147,0.00453134,0.000264738
2.75198,0.004679200000000001,0.000190632
2.75391,0.00537782,0.000191638
2.75391,0.00458769,0.000294973
2.7557199999999997,0.00534232,0.000276351
2.75781,0.00516637,0.000172516
2.75793,0.00520084,0.000249336
2.75848,0.00493569,0.000268533
2.75889,0.00529816,0.000295905
2.7592600000000003,0.00511509,0.000193883
2.7603899999999997,0.00489599,0.000235418
2.7608699999999997,0.00454349,0.000289854
2.76138,0.00519225,0.000230973
2.76182,0.0046372,0.000164624
2.76193,0.00421155,0.000254364
2.76285,0.00417274,0.000313763
2.76384,0.00421415,0.000171094
2.76405,0.00351154,0.000261876
2.76582,0.00377666,0.000235019
2.76594,0.00384456,0.000168543
2.76771,0.00353235,0.000150079
2.7696199999999997,0.00288182,0.000122797
2.76985,0.00304556,0.000156315
2.77186,0.00257426,0.000153764
2.77589,0.00218069,0.000164479
2.77975,0.00135972,0.000153602
2.7837899999999998,0.00174976,0.000163183
2.7992199999999996,0.00127112,0.000135487
2.80191,0.00283321,0.000189172
2.80191,0.00261954,0.000250158
2.80263,0.00427103,0.000165797
2.80346,0.00748659,0.000335816
2.80355,0.00503365,0.000303291
2.80448,0.00966426,0.000265965
2.8048,0.0163052,0.000477845
2.80506,0.0194543,0.000522716
2.80527,0.0219222,0.000554241
2.8057800000000004,0.0292574,0.000373518
2.8058,0.0269162,0.000629098
2.80608,0.0298146,0.000628009
2.80624,0.0305365,0.000644274
2.80647,0.0298505,0.000626108
2.8070500000000003,0.0209617,0.000562102
2.80756,0.0155611,0.000461553
2.8076999999999996,0.010905,0.000298298
2.80803,0.0114456,0.000449847
2.80852,0.00841976,0.000387501
2.80905,0.00690432,0.0003607180000000001
2.8094,0.006368100000000001,0.000386828
2.8094200000000003,0.00581116,0.000198766
2.81165,0.00282268,0.000174799
2.81386,0.0015204,0.00015445
2.81801,0.00137041,0.000178477
2.83205,0.000883514,0.000123208
2.83963,0.00230611,0.00018386
2.84037,0.00318083,0.000228141
2.8407199999999997,0.00863889,0.00040225
2.84105,0.0152718,0.0005095680000000001
2.84133,0.013967,0.000530301
2.84156,0.0118258,0.000506654
2.8418,0.00743297,0.000432007
2.8418699999999997,0.00311106,0.000187665
2.86179,0.00175108,9.308170000000001e-05
2.86896,0.00335953,0.000289996
2.86983,0.0109104,0.000356324
2.86985,0.00659935,0.000368828
2.87044,0.00555485,0.000411031
2.87079,0.016788,0.000890265
2.87098,0.0113381,0.000368987
2.8710999999999998,0.00907989,0.000448064
2.87156,0.00989092,0.0004695980000000001
2.8719200000000003,0.0133429,0.0005366
