,a0,a1,a2,a3,a4,a0_err,a1_err,a2_err,a3_err,a4_err,Chi2,Pval,Chi2NDF
2.1184,0.00041220449737244813,-0.000844145993790596,0.0008224019107459235,-0.00043311596009897035,0.00010551209540673664,0.0004441625329812063,0.0010307897402399829,0.0009940614612883214,0.000554875454247343,0.000150630447112899,16771.325346741294,0.0,8385.662673370647
2.1195,0.0005271826558835152,-0.0010977999467161326,0.001023114095142802,-0.0005187100303157,0.00010869547911695338,0.0005717573383732024,0.0013315437936517256,0.0012958198562790166,0.0007422356248036838,0.00021152777248514547,28777.15576412192,0.0,14388.57788206096
2.1205,-0.00013889118059882966,0.0004368650494495363,-0.0004154128164447768,0.0002471045636211894,-7.580903335312195e-05,0.0005276933343645122,0.001224262130988643,0.001186157943551171,0.0006756553754263566,0.00018925504752749698,3380.177832526186,0.0,1690.088916263093
2.1215,0.0005232693184094236,-0.0010951581714630232,0.001103582317942775,-0.0006431551939738434,0.00018979544472485024,0.0004276429963749777,0.0009926579110704956,0.0009592273618952936,0.0005402348509824982,0.00014937494716420923,30862.751641604005,0.0,15431.375820802003
2.1225,0.00032612226906592046,-0.000504270637900428,0.0005329826969676654,-0.00031536552129857176,9.208960987341919e-05,0.00048116333732774544,0.0011163364421049448,0.0010796762981627398,0.0006093237660254809,0.00016873572162995543,5449.338582527951,0.0,2724.6692912639755
2.123,0.0014528881426282003,-0.00285003449155119,0.0028207250111549342,-0.001562147013941917,0.00039946360745937715,0.0006435134749283108,0.0014939956739444592,0.0014486910824413931,0.0008234521584609341,0.00023083439070169993,107187.10575932974,0.0,53593.55287966487
2.1235,0.003009372367968055,-0.005920288589400968,0.005874521486494588,-0.003356354487006108,0.0009464446802955884,0.0010077625599511251,0.0023405571223798697,0.0022685870677877935,0.0012865242090843913,0.0003594733323556341,188322.3248281651,0.0,94161.16241408254
2.1238,0.002653740741894006,-0.005291013999147776,0.005244671076964247,-0.0029854857368676324,0.0008214907324075593,0.0009357260283255111,0.002173103222162772,0.002107723481256299,0.0011977674987916599,0.00033534323678580824,180193.8135491472,0.0,90096.9067745736
2.125,0.0003374740612202831,-0.0005286742187327609,0.0006177398477682505,-0.00041033926771935625,0.0001292209279690898,0.0007227645936665639,0.0016796780449639314,0.0016328322950767882,0.0009335354385035923,0.0002629365179439768,4210.1395938440455,0.0,2105.0697969220228
2.126,0.0009009643361510833,-0.0018599739595375753,0.0018596580846264033,-0.0010766893059328542,0.00030109048833952545,0.0005667969225051574,0.0013152072393388975,0.0012744212207849975,0.0007244087343497642,0.0002032138576950489,55847.11731750137,0.0,27923.558658750684
2.1269,0.0015428825816009017,-0.00335241715947876,0.0033047697067441484,-0.001895318981913502,0.0005242502054820311,0.0007185552080326373,0.0016702724864401891,0.0016248322396957074,0.000930393275478434,0.0002638179710290736,147309.67258247169,0.0,73654.83629123584
2.1308,0.00019860157824464625,-0.0003123406072039203,0.0003264245513832087,-0.0002047873755556956,7.356493311733853e-05,0.0006709799668312357,0.001561170585828423,0.001514270237042413,0.0008537152767448333,0.0002385218098863291,2054.7738417049077,0.0,1027.3869208524538
