Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q int
run_0103,det7,0.0212314,0.000208864,15144.9,148.988,9.29877,1.78665,1,0,713326
run_0103,det8,0.0220012,0.000207879,15694,148.285,8.78557,1.51159,1,0,713326
run_0103,det9,0.0217149,0.000205606,15489.8,146.664,8.39516,1.00533,1,0,713326
run_0103,det10,0.0105269,0.000173061,7509.13,123.449,10.2073,1.60995,1,0,713326
run_0103,det11,0.0180009,0.00020471,12840.5,146.025,10.6529,1.40313,1,0,713326
run_0103,det12,0.0237165,0.000214716,16917.6,153.163,8.70923,1.24237,1,0,713326
run_0104,det0,0.0231827,0.000207623,16837.7,150.798,8.2921,1.19554,1,0,726307
run_0104,det1,0.022892,0.000211513,16626.6,153.624,9.00551,1.04601,1,0,726307
run_0104,det2,0.00939665,0.000152608,6824.85,110.84,8.95255,1.23142,1,0,726307
run_0104,det3,0.0208465,0.000201613,15140.9,146.433,9.24637,1.2454,1,0,726307
run_0104,det4,0.0211249,0.000205595,15343.1,149.325,9.52161,1.67798,1,0,726307
run_0104,det5,0.0214662,0.00020894,15591,151.754,10.007,1.26236,1,0,726307
run_0104,det6,0.0210542,0.00020303,15291.8,147.462,8.84059,1.0264,1,0,726307
run_0104,det7,0.0206379,0.000205037,14989.5,148.92,9.35799,1.42106,1,0,726307
run_0104,det8,0.0214845,0.000203467,15604.4,147.78,8.78412,1.24578,1,0,726307
run_0104,det9,0.021907,0.000202833,15911.2,147.319,8.46884,1.18679,1,0,726307
run_0104,det10,0.0103868,0.000170824,7544.03,124.071,10.3769,1.46918,1,0,726307
run_0104,det11,0.0178282,0.000201226,12948.7,146.152,10.6041,1.37677,1,0,726307
run_0104,det12,0.0240417,0.000213454,17461.6,155.033,8.83086,1.10984,1,0,726307
run_0105,det0,0.0231067,0.000186796,20832.9,168.414,8.33482,1.53508,1,0,901595
run_0105,det1,0.0226951,0.000190132,20461.8,171.422,8.92173,1.35427,1,0,901595
run_0105,det2,0.00936129,0.000137502,8440.09,123.971,8.86197,1.59747,1,0,901595
run_0105,det3,0.020779,0.000181128,18734.2,163.304,9.18824,1.2483,1,0,901595
run_0105,det4,0.0209739,0.000185239,18910,167.011,9.40059,1.51568,1,0,901595
run_0105,det5,0.0216298,0.000189882,19501.3,171.197,9.91648,1.71662,1,0,901595
run_0105,det6,0.0206635,0.000182672,18630.1,164.696,8.82692,1.23613,1,0,901595
run_0105,det7,0.0209458,0.000185893,18884.6,167.6,9.34296,1.61866,1,0,901595
run_0105,det8,0.0214012,0.00018325,19295.2,165.217,8.75122,1.10952,1,0,901595
run_0105,det9,0.0209763,0.00018009,18912.1,162.368,8.39196,1.21726,1,0,901595
run_0105,det10,0.0100194,0.000151754,9033.47,136.82,10.0454,2.02318,1,0,901595
run_0105,det11,0.0177699,0.000181962,16021.3,164.056,10.743,1.58323,1,0,901595
run_0105,det12,0.0233144,0.000196122,21020.2,176.822,8.8572,1.37853,1,0,901595
run_0106,det0,0.0228367,0.000226997,13937.1,138.535,8.30049,1.25908,1,0,610293
run_0106,det1,0.0221847,0.000230963,13539.2,140.955,8.79637,1.72114,1,0,610293
run_0106,det2,0.00906751,0.000166047,5533.83,101.337,8.52989,1.31761,1,0,610293
run_0106,det3,0.0204122,0.000219695,12457.4,134.078,9.15594,1.33936,1,0,610293
run_0106,det4,0.0205052,0.00022325,12514.2,136.248,9.39757,1.407,1,0,610293
run_0106,det5,0.0205964,0.000225719,12569.8,137.755,9.82149,1.37412,1,0,610293
run_0106,det6,0.0208759,0.000223371,12740.4,136.322,8.80614,1.13722,1,0,610293
run_0106,det7,0.020537,0.00022402,12533.6,136.718,9.42898,1.4017,1,0,610293
run_0106,det8,0.0214771,0.000222739,13107.3,135.936,8.74925,1.34553,1,0,610293
run_0106,det9,0.0212184,0.000219472,12949.4,133.942,8.33179,1.18986,1,0,610293
run_0106,det10,0.0103371,0.00018461,6308.69,112.666,10.1573,1.41923,1,0,610293
run_0106,det11,0.0176748,0.000219254,10786.8,133.809,10.443,1.49167,1,0,610293
run_0106,det12,0.0233139,0.000238507,14228.3,145.559,8.77311,1.21857,1,0,610293
run_0107,det0,0.0227379,0.000206099,16923.1,153.393,8.35066,1.23079,1,0,744269
run_0107,det1,0.0227,0.000208659,16894.9,155.298,8.80803,1.16959,1,0,744269
run_0107,det2,0.0090082,0.000150009,6704.53,111.647,8.81047,1.17445,1,0,744269
run_0107,det3,0.0202524,0.000197591,15073.2,147.061,8.99203,1.29886,1,0,744269
run_0107,det4,0.0207871,0.000202589,15471.2,150.781,9.30672,1.22703,1,0,744269
run_0107,det5,0.0212654,0.000206898,15827.1,153.987,9.94701,1.2605,1,0,744269
run_0107,det6,0.0205751,0.000200547,15313.4,149.261,8.80414,1.17124,1,0,744269
run_0107,det7,0.0209326,0.000205234,15579.4,152.75,9.37058,1.6824,1,0,744269
run_0107,det8,0.0209552,0.000200771,15596.3,149.427,8.80292,1.24096,1,0,744269
run_0107,det9,0.0209654,0.000198475,15603.9,147.719,8.47378,1.13432,1,0,744269
run_0107,det10,0.0100649,0.000167001,7491.01,124.293,10.1138,1.62009,1,0,744269
run_0107,det11,0.0178764,0.000201211,13304.9,149.755,10.7075,1.44718,1,0,744269
run_0107,det12,0.0233185,0.000210462,17355.2,156.641,8.88253,1.02713,1,0,744269
run_0108,det0,0.022476,0.000209479,16185.6,150.852,8.36722,1.22627,1,0,720127
run_0108,det1,0.0227226,0.000213972,16363.1,154.087,8.8691,1.08686,1,0,720127
run_0108,det2,0.00917093,0.000152282,6604.23,109.663,8.72937,1.0999,1,0,720127
run_0108,det3,0.0201163,0.000201669,14486.3,145.227,9.10302,1.26071,1,0,720127
run_0108,det4,0.0207776,0.00020784,14962.5,149.671,9.43527,1.40884,1,0,720127
run_0108,det5,0.0208436,0.00020827,15010,149.981,9.72424,1.36452,1,0,720127
run_0108,det6,0.0207651,0.000204508,14953.5,147.272,8.76774,1.2918,1,0,720127
run_0108,det7,0.0207582,0.000207572,14948.5,149.478,9.27054,1.71953,1,0,720127
run_0108,det8,0.0212084,0.000205137,15272.7,147.725,8.64335,1.15175,1,0,720127
run_0108,det9,0.0211775,0.000202878,15250.5,146.098,8.47049,1.0547,1,0,720127
run_0108,det10,0.0101834,0.000174153,7333.36,125.412,10.3384,1.55362,1,0,720127
run_0108,det11,0.0177855,0.000204573,12807.8,147.318,10.6572,1.54232,1,0,720127
run_0108,det12,0.023566,0.000215863,16970.5,155.449,8.8919,1.31107,1,0,720127
run_0109,det0,0.0229204,0.000205675,17493,156.973,8.27713,0.990389,1,0,763208
run_0109,det1,0.0224255,0.000208552,17115.3,159.169,8.76028,1.14073,1,0,763208
