,a0,a1,a2,a3,a4,a5,a0_err,a1_err,a2_err,a3_err,a4_err,a5_err,Chi2,Pval,Chi2NDF
2.3674,0.00018953760775985984,-4.210438400775729e-05,0.00013901997048293424,-0.00010480756264286128,6.147979758930333e-05,-2.9656405526101715e-05,0.003664893404579729,0.00881279021155311,0.009274944621697085,0.0061852280378247105,0.002600907177510213,0.0005471201878809111,255.8471872951174,1.3796143761043784e-57,255.8471872951174
2.3679,0.005654515476251731,-0.013085706538809916,0.01369845053753238,-0.008933039230001327,0.003609137070042401,-0.0007088474627235941,0.003619710699865644,0.008705004348764249,0.00916338722706565,0.0061135240179835465,0.002572403676664897,0.0005413647188561462,3815756.8575447667,0.0,3815756.8575447667
2.3685,0.003004453095336146,-0.006640014709290654,0.006823917425286652,-0.004231358843725275,0.00155201778025571,-0.0002514134602439322,0.00413261665894894,0.009937034606890237,0.010457331241723085,0.006973015964951007,0.0029315029743361954,0.0006161772235437872,678234.7549112795,0.0,678234.7549112795
2.3693,0.00849108137710175,-0.0198741399561726,0.020832962242451458,-0.013648132997445828,0.005532070532906275,-0.0010795329407100596,0.0038064691321793567,0.0091529485102963,0.009632695630024229,0.006424181619644219,0.0027006164269486395,0.0005669851230680001,7792239.620469184,0.0,7792239.620469184
2.3696,0.0007274629246154518,-0.001204181828882156,0.0011915613196151753,-0.0005599441551566997,5.796780829658843e-05,5.543781455541463e-05,0.003909006604651204,0.00940004731468595,0.009893914541110594,0.006599516100926047,0.002775250102691208,0.000583447478362704,29978.637970545828,0.0,29978.637970545828
2.3699,0.004352268279365745,-0.009966711289180807,0.010482164508466951,-0.006840859688544754,0.0027812238661555355,-0.0005476218045306069,0.003949109784347396,0.00949762164407777,0.009999433798312323,0.0066731395050250025,0.002809252953334279,0.0005916393443941362,1919776.3813974739,0.0,1919776.3813974739
2.3706,0.0064084982014698255,-0.014852770725347852,0.015441154726460127,-0.009947871423392485,0.003913332784962087,-0.0007172293688509912,0.004314074295207158,0.010374668589866473,0.010921363178725682,0.0072865620872581815,0.0030655748579982594,0.0006449474096133511,3818179.1026570504,0.0,3818179.1026570504
2.3709,0.003425961928556376,-0.007723853272509018,0.007993536282235425,-0.005043553418282443,0.0019246672784167806,-0.0003474376963326087,0.003711252541308522,0.008924904329395283,0.0093946816912712,0.00626768196052666,0.002637422251241504,0.0005551341027888223,1143336.3199251103,0.0,1143336.3199251103
2.3715,0.003203169303628073,-0.007296311615704099,0.0077115069901694255,-0.005058509180116744,0.002076769541538237,-0.0004187031092536264,0.003668314567724499,0.008821299158953756,0.009285418000929243,0.00619408224152933,0.0026055207228965096,0.0005482563792441334,1200270.3750840016,0.0,1200270.3750840016
2.372,-0.0013626623458051768,0.0037239120267642534,-0.004021261724595604,0.0029115963868946437,-0.0013785743237204606,0.00034978990866252335,0.003612694816591316,0.008689213952507003,0.009149458977340865,0.006107304016613315,0.0025726699207515398,0.0005425916479147253,301943.09442695323,0.0,301943.09442695323
2.3723,0.0011073666018095452,-0.002234941572083926,0.0022773255121819602,-0.0013021529843513235,0.00035714837882006023,3.59591953880134e-06,0.004698393489465504,0.011300348990848861,0.011898569529357217,0.007942346709850142,0.0033446003036484554,0.0007044134344528745,71186.85678465846,0.0,71186.85678465846
